,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
C.A.P.I-ANTABAMBA_per_2018-01,304,,246,0,246,1,68,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,143,693,122,1,58,62,1,1,579,509,,,,,,,0,10,0,213,,,3,,,5,3,15,,29,,,,
C.A.P.I-ANTABAMBA_per_2018-02,308,,179,0,179,1,66,66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,133,589,102,1,46,46,1,1,366,319,,,,,,,0,10,0,169,,,3,,,2,4,10,,22,,,,
C.A.P.I-ANTABAMBA_per_2018-03,233,,80,3,80,1,45,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,120,354,56,1,44,44,1,1,424,332,,,,,,,0,5,0,163,,,3,,,0,5,15,,22,,,,
C.A.P.I-ANTABAMBA_per_2018-04,240,,80,20,80,1,50,46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,2,26,2,132,539,70,1,44,44,1,1,539,440,,,,,,,4,2,0,180,,,3,,,0,0,12,,23,,,,
C.A.P.I-ANTABAMBA_per_2018-05,269,,51,18,51,1,52,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,0,23,5,110,542,56,1,38,38,1,1,400,300,,,,,,,0,3,0,161,,,3,,,8,0,21,,25,,,,
C.A.P.I-ANTABAMBA_per_2018-06,296,,52,26,52,1,60,60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,4,1,154,674,63,1,60,60,1,1,330,217,,,,,,,0,5,1,238,,,3,,,0,2,12,,26,,,,
C.A.P.I-ANTABAMBA_per_2018-07,628,,155,88,155,1,58,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,8,6,1,170,468,66,1,54,54,1,1,467,312,,,,,,,0,9,0,242,,,0,,,0,2,18,,24,,,,
C.A.P.I-ANTABAMBA_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ASILLO_per_2018-01,295,,264,37,264,1,62,59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,240,620,213,1,80,80,1,1,510,430,,,,,,,4,20,3,281,,,1,,,3,2,1,,1,,,,
C.A.P.I-ASILLO_per_2018-02,370,,253,50,253,1,78,74,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,294,736,214,1,98,98,1,1,509,427,,,,,,,4,5,0,312,,,1,,,6,2,1,,3,,,,
C.A.P.I-ASILLO_per_2018-03,337,,107,27,107,1,69,67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,285,713,136,6,92,92,1,1,499,394,,,,,,,3,8,0,312,,,1,,,10,1,1,,2,,,,
C.A.P.I-ASILLO_per_2018-04,321,,86,25,86,1,70,70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,269,673,116,1,90,90,1,1,566,451,,,,,,,6,17,3,301,,,2,,,10,1,1,,1,,,,
C.A.P.I-ASILLO_per_2018-05,342,,28,10,28,1,68,68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,229,635,11,1,76,76,1,1,809,638,,,,,,,2,12,1,329,,,2,,,10,1,0,,1,,,,
C.A.P.I-ASILLO_per_2018-06,449,,23,7,23,1,90,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,2,6,307,830,120,1,100,100,1,1,931,757,,,,,,,2,30,3,386,,,2,,,2,2,0,,2,,,,
C.A.P.I-ASILLO_per_2018-07,435,,135,66,135,1,85,85,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,0,301,726,69,1,100,100,1,1,947,851,,,,,,,4,14,1,367,,,6,,,3,2,2,,2,,,,
C.A.P.I-ASILLO_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ASILLO_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ASILLO_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ASILLO_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ASILLO_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAMPO VERDE_per_2018-01,859,,622,41,622,2,200,172,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39,0,286,617,212,1,95,100,1,1,1102,877,,,,,,,0,19,1,623,,,0,,,2,2,0,,1,,,,
C.A.P.I-CAMPO VERDE_per_2018-02,920,,315,33,315,1,192,183,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39,0,304,971,189,1,101,102,1,1,1411,1077,,,,,,,3,21,1,282,,,2,,,4,1,2,,2,,,,
C.A.P.I-CAMPO VERDE_per_2018-03,905,,171,34,171,2,109,94,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,64,0,278,936,126,1,93,100,1,1,1463,985,,,,,,,0,7,3,160,,,2,,,4,2,2,,2,,,,
C.A.P.I-CAMPO VERDE_per_2018-04,905,,112,26,112,2,200,181,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,61,0,301,405,101,1,100,100,1,1,1696,1087,,,,,,,1,29,3,123,,,2,,,2,1,2,,2,,,,
C.A.P.I-CAMPO VERDE_per_2018-05,852,,47,21,47,2,202,170,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,38,0,311,347,103,2,155,155,1,2,1599,1186,,,,,,,0,16,3,199,,,2,,,2,1,2,,2,,,,
C.A.P.I-CAMPO VERDE_per_2018-06,912,,87,76,87,2,200,182,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,0,273,889,51,1,100,100,1,1,1591,1156,,,,,,,0,24,0,143,,,2,,,2,1,2,,2,,,,
C.A.P.I-CAMPO VERDE_per_2018-07,891,,410,302,410,2,196,178,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,15,1,264,811,101,1,132,132,1,1,967,656,,,,,,,1,17,1,180,,,2,,,2,1,1,,1,,,,
C.A.P.I-CAMPO VERDE_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAMPO VERDE_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAMPO VERDE_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAMPO VERDE_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAMPO VERDE_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-01,160,,80,54,80,1,32,32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,220,60,1,32,32,1,1,138,131,,,,,,,,,,86,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-02,132,,74,54,74,1,25,25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,150,25,1,23,23,1,1,122,112,,,,,,,,,,130,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-03,155,,91,53,91,1,30,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,180,35,1,32,32,1,1,154,138,,,,,,,,,,133,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-04,180,,68,15,68,1,36,36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,298,49,1,36,36,1,1,258,251,,,,,,,,,,165,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-05,157,,83,74,83,1,30,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,213,23,1,32,32,1,1,192,184,,,,,,,,,,154,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-06,251,,104,55,104,1,48,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,381,53,1,52,52,1,1,162,128,,,,,,,,,,195,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-07,290,,83,52,83,1,56,56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,361,60,1,64,64,1,1,441,363,,,,,,,,,,242,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,
C.A.P.I-CASCAS_per_2018-01,274,,198,19,198,1,55,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,446,198,1,62,64,1,1,531,499,,,,,,,3,18,1,188,,,1,,,1,4,5,,6,,,,
C.A.P.I-CASCAS_per_2018-02,384,,211,11,211,1,77,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,435,139,1,63,63,1,1,679,642,,,,,,,4,22,0,227,,,1,,,1,4,2,,5,,,,
C.A.P.I-CASCAS_per_2018-03,370,,135,12,135,1,77,74,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,459,108,1,73,70,1,1,632,603,,,,,,,0,19,2,213,,,1,,,4,4,2,,4,,,,
C.A.P.I-CASCAS_per_2018-04,336,,75,12,75,1,65,65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,461,85,1,63,64,1,1,724,697,,,,,,,1,11,1,224,,,3,,,2,4,3,,4,,,,
C.A.P.I-CASCAS_per_2018-05,319,,69,7,69,1,66,63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,461,86,1,63,64,1,1,723,692,,,,,,,0,18,0,167,,,1,,,2,8,1,,4,,,,
C.A.P.I-CASCAS_per_2018-06,310,,44,6,44,1,63,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,464,52,1,64,65,1,1,655,630,,,,,,,0,17,0,216,,,2,,,5,4,1,,4,,,,
C.A.P.I-CASCAS_per_2018-07,318,,43,16,43,1,64,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,509,53,1,81,81,1,1,1112,1066,,,,,,,3,16,0,182,,,1,,,2,5,1,,4,,,,
C.A.P.I-CASCAS_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CASCAS_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CASCAS_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CASCAS_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CASCAS_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHAVALINA_per_2018-01,331,,295,31,295,1,78,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,792,632,,,,,,,2,18,3,352,0,,5,,,5,1,2,,1,,0,,
C.A.P.I-CHAVALINA_per_2018-02,304,,196,20,196,1,72,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,387,108,1,40,60,1,1,1001,757,,,,,,,0,41,2,351,0,,5,,,4,1,2,,2,,0,,
C.A.P.I-CHAVALINA_per_2018-03,203,,99,14,99,1,54,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,201,59,1,29,46,1,1,761,572,,,,,,,0,32,2,192,0,,3,,,5,1,2,,1,,0,,
C.A.P.I-CHAVALINA_per_2018-04,342,,106,13,106,1,48,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,260,81,1,40,40,1,1,881,697,,,,,,,1,33,2,337,0,,6,,,5,1,2,,2,,0,,
C.A.P.I-CHAVALINA_per_2018-05,237,,87,10,87,1,48,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,240,66,1,45,45,1,2,819,632,,,,,,,0,0,3,341,12,,5,,,6,4,2,,2,,0,,
C.A.P.I-CHAVALINA_per_2018-06,221,,79,25,79,1,36,36,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,222,49,1,32,32,1,1,911,734,,,,,,,4,27,1,308,0,,5,,,6,2,2,,2,,0,,
C.A.P.I-CHAVALINA_per_2018-07,280,,50,14,50,1,48,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,412,109,1,56,56,1,1,687,506,,,,,,,1,17,2,334,0,,5,,,6,2,2,,2,,19,,
C.A.P.I-CHAVALINA_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,0,,,0,0,0,,0,,0,,
C.A.P.I-CHAVALINA_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,0,,,0,0,0,,0,,0,,
C.A.P.I-CHAVALINA_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,0,,,0,0,0,,0,,0,,
C.A.P.I-CHAVALINA_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,0,,,0,0,0,,0,,0,,
C.A.P.I-CHAVALINA_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,0,,,0,0,0,,0,,0,,
C.A.P.I-CHICAMA_per_2018-01,926,,756,48,756,2,188,188,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,557,188,1,72,72,1,1,2293,1750,,,,,,,12,11,0,15,,,1,,,0,3,0,,1,,,,
C.A.P.I-CHICAMA_per_2018-02,829,,415,47,415,2,160,154,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,673,190,1,84,84,1,1,2473,1559,,,,,,,6,28,6,175,,,5,,,2,2,4,,5,,,,
C.A.P.I-CHICAMA_per_2018-03,741,,276,46,276,2,150,147,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,568,117,1,76,76,1,1,2060,1405,,,,,,,10,30,2,107,,,2,,,2,2,0,,1,,,,
C.A.P.I-CHICAMA_per_2018-04,974,,295,51,295,2,203,198,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,559,145,1,84,84,1,1,2530,1748,,,,,,,6,30,5,209,,,3,,,1,2,10,,1,,,,
C.A.P.I-CHICAMA_per_2018-05,1023,,180,24,180,2,208,206,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,566,156,1,84,84,1,1,2529,1754,,,,,,,15,15,3,226,,,8,,,0,2,0,,0,,,,
C.A.P.I-CHICAMA_per_2018-06,994,,153,19,153,2,202,202,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,614,146,1,84,84,1,1,2119,1675,,,,,,,11,11,4,194,,,10,,,5,2,7,,1,,,,
C.A.P.I-CHICAMA_per_2018-07,988,,151,43,151,2,192,190,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,556,98,1,76,76,1,1,2185,1739,,,,,,,21,27,8,168,,,5,,,9,2,1,,2,,,,
C.A.P.I-CHICAMA_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHICAMA_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHICAMA_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHICAMA_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHICAMA_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-01,220,,207,28,207,1,45,44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,2,0,162,317,93,1,91,95,1,1,515,457,,,,,,,6,24,0,220,,,0,,,0,3,1,,3,,,,
C.A.P.I-CHIVAY_per_2018-02,402,,230,26,230,1,80,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,172,293,68,1,92,92,1,1,353,280,,,,,,,0,2,1,206,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-03,400,,96,30,96,1,80,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,150,276,56,1,92,92,1,1,1254,1200,,,,,,,8,20,3,226,,,1,,,1,2,1,,0,,,,
C.A.P.I-CHIVAY_per_2018-04,468,,213,64,213,1,100,94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,0,5,143,252,51,1,88,88,1,1,1041,1010,,,,,,,2,26,3,230,,,1,,,0,4,3,,5,,,,
C.A.P.I-CHIVAY_per_2018-05,519,,202,81,202,1,100,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,0,3,153,262,42,1,88,88,1,1,1589,1500,,,,,,,6,20,1,244,,,0,,,0,3,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-06,511,,164,67,164,1,100,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,0,164,248,57,1,88,88,1,1,1536,1500,,,,,,,7,20,0,120,,,0,,,0,6,0,,2,,,,
C.A.P.I-CHIVAY_per_2018-07,571,,202,75,202,1,114,114,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,5,0,134,200,40,1,84,84,1,1,2083,2010,,,,,,,5,0,4,100,,,1,,,0,4,1,,2,,,,
C.A.P.I-CHIVAY_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHIVAY_per_2018-12,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-CHURCAMPA_per_2018-01,647,,401,37,401,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,5,2,6,464,1538,267,1,100,100,1,2,954,672,475,238,,,,,4,12,0,519,,,1,,,3,2,,,2,,,,
C.A.P.I-CHURCAMPA_per_2018-02,708,,220,10,220,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,5,5,10,449,1474,297,1,100,100,1,2,1639,563,545,250,,,,,6,8,0,399,,,0,,,2,2,,,2,,,,
C.A.P.I-CHURCAMPA_per_2018-03,693,,104,11,104,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,4,4,15,511,1740,152,1,100,100,1,2,1163,918,520,288,,,,,6,11,1,522,,,4,,,1,3,,,3,,,,
C.A.P.I-CHURCAMPA_per_2018-04,654,,57,14,57,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2,2,10,521,1773,87,1,100,100,1,2,1979,1073,431,235,,,,,6,13,0,574,,,4,,,2,2,,,2,,,,
C.A.P.I-CHURCAMPA_per_2018-05,560,,55,11,55,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,4,2,5,477,1469,94,1,100,100,1,2,1151,550,328,132,,,,,4,15,0,525,,,2,,,2,0,,,2,,,,
C.A.P.I-CHURCAMPA_per_2018-06,637,,82,19,82,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,3,6,8,487,1596,70,1,100,100,1,2,1286,644,282,127,,,,,3,14,0,558,,,6,,,2,2,,,2,,,,
