,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
H. I-MOCHE_per_2018-06,5298,,1331,254,1331,15,1059,1053,8,10,30,153,142,180,6,,,1,,,,,,,,,,,,1,1,,1,,1,1,932,0,25,173,734,397,926,178,1,124,124,1,2,14522,10462,13316,8664,507,223,,,63,159,21,1361,550,350,15,1,3,25,6,19,,14,0,256,3,
H. I-MOCHE_per_2018-07,5203,,1150,258,1150,16,1072,1050,8,10,35,128,128,186,6,,,0,,,,,,,,,,,,1,1,,1,,1,1,817,0,50,300,467,364,811,168,1,112,112,1,1,13237,10125,13717,8644,644,322,,,46,159,23,1476,481,425,12,3,0,26,6,27,,17,2,329,3,
H. I-MOCHE_per_2018-08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
H. I-MOCHE_per_2018-09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
H. I-MOCHE_per_2018-10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
H. I-MOCHE_per_2018-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
H. I-MOCHE_per_2018-12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
H. I-NAYLAMP_per_2018-01,15509,,11325,277,11325,45,3069,3068,21,42,288,680,754,837,27,2,0,3,228,,71,126,31,,207,191,2,8,161,67,49,18,1,18,67,67,5858,14,623,805,4416,829,2424,688,4,292,293,2,4,62126,35919,29200,22743,1559,1330,,,173,448,50,1717,688,321,0,15,8,28,36,0,0,0,12,578,0,0
H. I-NAYLAMP_per_2018-02,13754,,6363,417,6363,45,2777,2776,21,42,338,806,873,896,32,0,0,8,220,,66,107,47,,178,162,2,7,163,75,64,11,1,11,75,75,5245,10,446,706,4083,888,2499,558,4,334,335,2,4,55186,31293,25879,19824,1156,1002,,,302,691,60,1338,709,337,3,15,7,36,16,6,0,0,15,666,0,0
H. I-NAYLAMP_per_2018-03,15438,,5028,414,5028,45,3035,3034,21,42,323,895,890,1364,44,0,0,7,210,,68,107,35,,179,163,2,8,160,80,66,14,1,14,80,80,5902,12,536,710,4644,1008,2758,589,4,348,349,2,4,59019,33723,28049,21888,1408,1188,,,290,368,72,1304,672,289,18,3,8,45,60,2,0,0,6,639,0,0
H. I-NAYLAMP_per_2018-04,15572,,4156,463,4156,45,3079,3078,21,42,350,811,913,1320,44,0,0,4,257,,69,154,34,,275,189,2,13,191,90,69,21,1,21,90,90,6756,26,505,945,5280,854,2430,486,4,308,309,2,4,62181,32025,29663,23131,1605,1381,,,0,0,31,1700,686,321,5,10,8,24,48,0,0,12,12,689,0,0
H. I-NAYLAMP_per_2018-05,15747,,3450,450,3450,45,3096,3095,21,42,399,1114,1107,1364,44,1,0,6,292,,85,147,60,,233,195,2,16,220,94,65,29,1,29,94,94,7291,21,445,1803,5022,939,2660,433,4,340,341,2,4,68717,36463,27113,21031,1387,1110,,,232,389,56,1383,609,325,2,20,9,0,34,3,15,0,0,654,0,0
H. I-NAYLAMP_per_2018-06,14707,,2671,450,2671,45,3008,3007,21,42,363,1008,1047,1170,39,0,0,8,252,,61,149,42,,218,163,2,11,180,0,0,0,0,0,0,0,0,0,0,0,0,974,2743,439,4,344,345,2,4,61282,34169,20947,16222,1323,1101,,,0,0,40,1701,656,239,2,10,6,0,0,5,0,0,6,687,0,0
H. I-NAYLAMP_per_2018-07,13960,,2219,417,2219,45,2697,2696,21,42,378,1012,1026,1147,37,0,2,4,263,,66,151,46,,230,186,2,12,204,94,69,25,1,25,94,94,6315,21,436,5425,433,921,2538,410,4,348,349,2,4,56885,29929,22500,17463,1440,1140,,,164,280,35,1348,589,290,3,10,5,21,30,0,0,6,6,741,15,24
H. I-NAYLAMP_per_2018-08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. I-NAYLAMP_per_2018-09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. I-NAYLAMP_per_2018-10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. I-NAYLAMP_per_2018-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
