,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIËN,N░ SALAS DE PARTOS,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,CRED NIÐOS,MENORES 1 AÐO TERCERA DOSIS PENTAVALENTE,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-01,8439,9930,387,0,25,22,2458,2470,99,8465,11498,106,6,20,3286,657,3312,3119,6,0,49,248,163,22,0,552,429,333,18,4,76,167,168,78,85,236,163,2,115,2464,332,10,210,184,259,2,3,172,200,3,520,1438,24539,43088,2286,1181,162,0,67179,20788,0,0,0,0,278,0,0,0,249,396,0,1210,22,0,0,0,0,0,0,0,0,17,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-02,7067,9565,775,0,30,22,2936,2976,102,7105,13328,107,8,26,3103,668,3376,3015,18,0,38,283,189,29,0,606,466,391,9,4,85,179,180,86,91,260,175,2,100,2548,114,22,160,181,77,2,1,84,184,1,285,835,20988,38980,2649,1280,168,6,73497,23610,0,0,0,0,410,0,0,0,330,0,0,1187,24,0,0,0,0,0,0,0,0,21,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-03,4591,6411,663,0,26,22,2578,2638,103,4615,11822,108,11,17,3348,682,3206,3209,14,0,37,226,200,24,0,558,435,297,8,4,91,186,186,92,90,199,165,2,123,2776,180,50,220,187,129,2,3,208,248,3,635,1816,19634,36284,2634,1298,263,6,69415,21885,0,0,0,0,283,0,0,0,287,369,0,1026,23,0,0,0,0,0,0,0,0,18,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-04,3436,5211,700,0,29,22,3034,3102,100,3453,13305,107,5,17,3210,659,3496,3146,10,0,44,256,214,25,0,620,508,367,9,4,80,174,176,82,91,252,179,2,120,2525,232,68,160,180,146,2,3,248,280,3,728,1966,21526,37423,2569,1157,108,0,71178,24229,0,0,0,0,385,0,0,0,313,347,0,1191,21,0,0,0,0,0,0,0,0,17,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-05,2825,4341,703,0,30,22,3108,3156,95,2863,13898,107,6,11,3317,639,3545,3137,6,0,45,269,174,28,0,588,490,365,14,4,78,141,141,78,60,234,119,2,125,2537,145,71,202,186,106,2,3,260,268,3,751,2458,21512,39482,2631,1251,120,0,73703,24596,0,0,0,0,405,0,0,0,301,396,0,1242,23,0,0,0,0,0,0,0,0,18,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-06,2577,4298,689,0,30,22,2908,2974,95,2600,13364,106,7,12,3180,642,3220,3065,11,0,37,271,193,17,0,618,499,396,10,4,71,152,153,73,76,222,151,2,91,2375,232,60,208,179,84,2,3,236,256,3,634,2142,22287,39941,2605,1414,108,0,80716,24696,0,0,0,0,313,0,0,0,305,390,0,849,23,0,0,0,0,0,0,0,0,23,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-07,2259,3829,635,0,28,22,2586,2653,91,2275,12412,106,3,19,3286,637,3258,3182,10,0,39,252,156,10,0,540,459,318,4,4,84,163,163,87,74,261,150,2,122,2396,204,69,221,199,94,2,3,216,228,3,610,1940,22564,41262,2436,1110,90,0,69662,22532,0,0,0,0,400,0,0,0,274,138,0,960,16,0,0,0,0,0,0,0,0,13,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-08,2086,3555,691,0,25,22,2464,2492,90,2150,11584,108,5,14,3348,643,3404,3246,10,0,41,343,142,27,0,600,484,402,17,4,83,156,158,83,75,251,152,2,115,2657,193,14,252,228,111,2,3,168,168,3,517,1584,21550,41110,2343,1069,277,88,73942,20026,0,0,0,0,387,0,0,0,326,371,0,1010,23,0,0,0,0,0,0,0,0,15,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-09,2393,3847,746,0,27,22,2728,2780,99,2408,12673,109,2,11,3270,674,3611,3180,16,0,38,331,146,33,0,588,475,370,16,4,77,153,154,77,75,239,153,2,109,2594,250,9,196,217,111,2,3,224,240,3,689,2274,24653,44046,2675,1452,268,79,77566,24000,0,0,0,0,175,0,0,0,299,383,0,1448,25,0,0,0,0,0,0,0,0,20,146,10,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-10,2044,3598,664,0,28,22,2722,2752,99,2080,12482,106,7,13,3286,615,3219,3084,12,0,44,193,166,33,0,588,479,325,27,4,57,120,120,59,60,185,149,2,103,2729,178,25,222,210,132,2,3,224,236,3,712,2252,24565,46468,2233,869,167,54,73274,22525,0,0,0,0,329,0,0,0,280,387,0,955,22,0,0,0,0,0,0,0,0,16,151,11,0,0,0
