,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIËN,N░ SALAS DE PARTOS,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,CRED NIÐOS,MENORES 1 AÐO TERCERA DOSIS PENTAVALENTE,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-01,46,46,0,0,1,1,12,12,2,46,46,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43866,0,0,0,0,4284,264,0,0,0,0,0,0,0,66,45,73,0,63,3,2,0,0,0,0,24,0,0,23,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-02,1,1,1,0,1,1,12,12,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53143,0,0,0,0,4467,233,0,0,0,0,0,0,0,66,47,72,0,64,3,2,0,0,0,0,25,0,0,23,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-03,1,1,1,0,1,1,12,12,3,1,45,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63293,0,0,0,0,3693,218,0,0,0,0,0,0,0,66,45,72,0,42,3,2,0,0,0,0,22,0,0,15,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-04,0,0,0,0,1,1,12,12,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48546,0,0,0,0,4825,244,0,0,0,0,0,0,0,66,46,72,0,63,5,2,0,0,0,0,30,0,0,21,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-05,0,0,0,0,1,1,12,12,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63151,0,0,0,0,5489,257,0,0,0,0,0,0,0,66,46,74,0,57,4,2,0,0,0,0,24,0,0,20,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-06,0,0,0,0,1,1,12,12,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63686,0,0,0,0,4833,245,0,0,0,0,0,0,0,66,47,72,0,63,4,2,0,0,0,0,24,0,0,21,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-07,0,0,0,0,1,1,13,13,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41752,0,0,0,0,5709,266,0,0,0,0,0,0,0,66,46,71,0,64,6,2,0,0,0,0,26,0,0,18,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-08,2,2,2,0,1,1,13,13,3,2,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68032,0,0,0,0,5338,279,0,0,0,0,0,0,0,66,49,72,0,51,6,2,0,0,0,0,26,0,0,14,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-09,0,0,0,0,1,1,12,12,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69386,0,0,0,0,4931,271,0,0,0,0,0,0,0,67,49,72,0,75,6,2,0,0,0,0,26,0,0,18,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-10,10,10,9,0,1,1,15,15,3,10,57,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50956,0,0,0,0,4994,267,0,0,0,0,0,0,0,66,49,72,0,54,4,2,0,0,0,0,27,0,0,21,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-11,5,5,5,0,1,1,15,15,4,5,56,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57971,0,0,0,0,4910,277,0,0,0,0,0,0,0,72,50,71,0,60,3,2,0,0,0,0,26,0,0,22,55,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-12,3,3,3,0,1,1,15,15,4,3,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55162,0,0,0,0,5019,275,0,0,0,0,0,0,0,72,50,72,0,42,2,2,0,0,0,0,24,0,0,20,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-TOTAL,68,68,21,0,1,1,155,155,3,68,592,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678944,0,0,0,0,58492,3096,0,0,0,0,0,0,0,805,569,865,0,698,49,24,0,0,0,0,304,0,0,236,684,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-01,1503,1707,177,0,9,6,731,731,44,1503,1928,38,2,10,1178,246,1775,666,21,0,87,5,15,2,0,490,418,101,14,2,0,0,0,0,0,0,0,0,33,63,99,0,151,44,151,1,2,96,96,2,223,356,0,0,963,262,209,98,18177,3168,0,0,0,0,0,0,0,90,359,122,0,234,0,0,0,0,0,0,0,0,0,0,198,0,13,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-02,920,1223,156,0,9,6,677,677,44,920,1835,38,1,4,1102,210,1866,538,7,0,55,2,17,0,0,483,284,73,13,2,0,0,0,0,0,0,0,0,30,56,111,0,150,47,78,1,2,72,72,2,141,232,0,0,1006,250,62,14,16678,2998,0,0,0,0,0,0,0,86,351,96,0,186,0,0,0,0,0,0,0,0,0,4,198,0,11,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-03,627,980,160,0,9,6,716,716,44,627,1884,30,2,3,930,228,1969,529,15,0,96,5,16,0,0,462,440,95,5,2,0,0,0,0,0,0,0,0,23,70,85,0,132,46,79,1,2,104,104,2,202,321,0,0,1017,289,24,0,17960,3186,0,0,0,0,0,0,0,107,356,116,0,252,0,0,0,0,0,0,0,0,0,7,197,0,11,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-04,551,829,204,0,9,6,778,778,46,551,1899,30,1,8,900,247,1757,675,10,0,90,10,13,1,0,636,462,106,8,3,0,0,0,0,0,0,0,0,32,60,93,0,130,55,66,1,2,100,100,2,187,296,0,0,1025,256,30,0,20301,3032,0,0,0,0,0,0,0,89,377,118,0,240,0,0,0,0,0,0,0,0,0,7,197,0,4,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-05,451,727,210,0,9,6,689,689,43,451,1889,30,6,10,930,248,2231,666,10,0,102,4,5,0,0,732,500,107,14,3,0,0,0,0,0,0,0,0,34,60,99,0,146,47,48,1,2,100,100,2,159,269,0,0,1075,268,4,0,18869,3300,0,0,0,0,0,0,0,143,420,124,0,245,0,0,0,0,0,0,0,0,0,4,197,0,4,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-06,439,696,222,0,9,6,753,753,44,439,1913,30,3,6,900,231,1982,746,10,0,104,3,12,0,0,551,493,101,9,3,0,0,0,0,0,0,0,0,22,61,91,0,127,47,59,1,2,96,96,2,176,245,0,0,1036,268,0,0,18882,3112,0,0,0,0,0,0,0,120,344,112,0,190,0,0,0,0,0,0,0,0,0,3,197,0,2,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-07,307,518,181,0,9,6,659,659,45,307,1790,30,2,5,930,220,1912,792,13,0,75,4,7,1,0,501,366,83,14,3,0,0,0,0,0,0,0,0,19,82,104,0,149,56,45,1,2,76,76,2,111,185,0,0,961,245,2,0,18807,3179,0,0,0,0,0,0,0,104,339,98,0,214,0,0,0,0,0,0,0,0,0,2,196,0,6,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-08,386,592,207,0,9,6,701,701,43,386,1940,34,1,9,1054,259,2389,757,16,0,94,1,11,1,0,558,529,109,16,3,0,0,0,0,0,0,0,0,17,71,99,0,143,44,82,1,2,104,104,2,204,327,0,0,891,202,3,0,19278,3401,0,0,0,0,0,0,0,128,365,102,0,176,0,0,0,0,0,0,0,0,0,1,196,0,6,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-09,338,614,206,0,10,5,732,732,45,338,2124,38,2,6,1140,251,2156,954,8,0,123,4,10,4,0,582,581,118,10,3,0,0,0,0,0,0,0,0,23,83,108,0,157,57,79,1,2,100,100,2,206,328,0,0,1043,282,4,0,21478,3389,0,0,0,0,0,0,0,114,318,128,0,219,0,0,0,0,0,0,0,0,0,2,197,0,12,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-10,281,508,188,0,10,5,645,645,45,281,1887,38,1,6,1178,301,2293,986,17,0,119,7,10,0,0,540,538,123,13,3,0,0,0,0,0,0,0,0,26,68,134,0,181,47,63,1,2,96,96,2,180,289,0,0,955,186,0,0,20155,3422,0,0,0,0,0,0,0,118,360,120,0,205,0,0,0,0,0,0,0,0,0,4,197,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-11,359,598,227,0,10,5,721,721,42,359,2129,40,2,3,1200,215,1857,1028,7,0,121,13,12,1,0,677,590,127,10,3,0,0,0,0,0,0,0,0,21,64,122,0,161,46,67,1,2,104,104,2,209,276,0,0,1231,270,12,0,20468,3391,0,0,0,0,0,0,0,122,314,70,0,198,0,0,0,0,0,0,0,0,0,1,198,0,11,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-12,330,520,214,0,10,5,673,673,45,330,2005,40,1,5,1240,265,2621,954,13,0,103,11,10,0,0,588,484,108,14,3,0,0,0,0,0,0,0,0,15,97,143,0,190,65,31,1,2,52,52,2,94,133,0,0,1089,264,13,0,19688,3322,0,0,0,0,0,0,0,38,315,0,0,163,0,0,0,0,0,0,0,0,0,3,198,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2016-TOTAL,6492,9512,2352,0,9,6,8475,8475,45,6492,23223,38,24,75,12682,2921,24808,9291,147,0,1169,69,138,10,0,6800,5685,1251,140,3,0,0,0,0,0,0,0,0,295,835,1288,0,1817,601,848,1,2,1100,1100,2,2092,3257,0,0,12292,3042,363,112,230741,38900,0,0,0,0,0,0,0,1259,4218,1206,0,2522,0,0,0,0,0,0,0,0,0,38,2366,0,96,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-01,2248,2414,516,0,9,5,751,764,15,2276,2827,6,0,0,186,138,153,155,2,0,79,15,101,0,0,280,235,204,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7988,5881,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-02,969,1278,229,0,9,5,707,707,13,1017,2622,6,0,0,174,134,150,164,0,0,98,21,109,0,0,296,284,240,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7265,4517,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-03,600,830,205,0,8,5,694,694,13,605,2599,6,0,0,186,138,160,160,0,0,69,15,112,0,0,388,343,202,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,4254,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-04,576,807,229,0,7,5,638,638,14,583,2586,6,0,0,180,138,152,163,1,0,106,15,107,0,0,379,345,232,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6346,4496,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-05,798,806,236,0,7,5,634,629,13,806,2635,6,0,0,186,130,168,172,0,0,104,18,107,0,0,407,368,233,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6414,4331,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-06,577,759,261,0,7,5,602,602,16,584,2538,6,0,0,180,121,164,161,2,0,98,15,101,0,0,362,326,218,4,3,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7828,4587,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-07,407,587,196,0,6,5,413,425,12,415,1789,6,0,0,186,114,156,149,1,0,63,7,88,0,0,269,246,163,5,3,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,3496,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-08,532,714,256,0,7,5,539,539,14,550,2213,6,0,0,186,119,163,170,0,0,92,15,105,0,0,328,298,222,10,3,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6273,4259,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-09,330,509,192,0,6,5,496,496,17,337,2056,6,0,0,180,128,168,173,2,0,112,4,84,0,0,338,304,210,10,3,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6329,3784,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-10,431,590,224,0,7,5,585,585,15,438,2393,6,0,0,186,127,172,164,2,0,93,12,95,0,0,345,317,210,10,3,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8082,4323,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-11,345,552,174,0,7,5,525,533,13,347,2214,6,0,0,180,136,167,167,1,0,102,15,112,0,0,326,297,241,12,3,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7089,4005,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-12,415,560,241,0,6,5,467,467,14,422,1949,6,0,0,186,141,166,160,3,0,120,17,113,0,0,404,376,257,7,3,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915,3246,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2016-TOTAL,8228,10406,2959,0,7,5,7051,7079,14,8380,28421,6,0,0,2196,1564,1939,1958,14,0,1136,169,1234,0,0,4122,3739,2632,93,3,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81081,51179,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,144,0,0,0,0
C.M. ACOMAYO _per_2016-01,182,182,14,0,1,1,40,40,1,182,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,0,0,173,1,1,72,72,1,215,532,0,0,0,0,0,0,572,481,14,2,15,0,46,1,0,179,192,0,89,0,3,0,1,0,6,0,8,0,5,0,1,1,2,9,0
C.M. ACOMAYO _per_2016-02,132,132,13,0,1,1,42,43,1,132,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,125,1,1,70,70,1,211,540,0,0,0,0,0,0,499,375,21,3,14,3,29,1,0,167,197,0,123,0,3,0,1,0,4,0,12,0,5,0,1,1,2,6,0
C.M. ACOMAYO _per_2016-03,86,86,5,0,1,1,36,36,1,86,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,90,1,1,65,65,1,196,549,0,0,0,0,0,0,490,370,14,10,23,0,30,1,0,156,113,0,102,0,2,0,1,0,6,0,8,0,3,0,1,1,2,5,0
C.M. ACOMAYO _per_2016-04,63,63,8,0,1,1,34,34,1,63,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,111,1,1,76,76,1,229,561,0,0,0,0,0,0,512,410,0,11,22,3,33,1,0,171,72,0,72,0,4,0,1,0,4,0,4,0,4,0,1,1,2,10,0
C.M. ACOMAYO _per_2016-05,81,81,20,0,1,1,42,42,1,81,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,63,1,1,68,68,1,204,521,69,110,0,0,0,0,569,438,13,6,11,0,45,1,0,7,173,0,101,0,2,0,0,0,2,0,8,0,8,0,1,1,1,0,0
C.M. ACOMAYO _per_2016-06,91,91,16,0,1,1,52,52,1,91,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,65,1,1,69,69,1,208,506,250,273,0,0,0,0,551,470,11,66,25,0,65,0,0,0,178,0,103,0,1,0,3,0,1,0,6,0,6,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-07,35,35,5,0,1,1,34,34,1,35,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,44,1,1,57,57,1,171,421,302,302,0,0,0,0,471,406,14,11,25,1,33,0,0,0,135,0,90,0,1,0,2,0,2,0,1,0,1,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-08,31,31,4,0,1,1,39,39,1,31,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,22,1,1,51,51,1,154,381,267,267,0,0,0,0,528,413,8,12,9,4,37,0,0,0,97,0,53,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-09,34,34,15,0,1,1,39,39,1,34,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,30,1,1,51,51,1,152,368,269,275,0,0,0,0,494,361,6,9,14,0,37,1,0,0,115,0,72,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-10,30,30,5,0,1,1,37,37,1,30,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,21,1,1,52,52,1,155,371,274,279,0,0,0,0,510,398,3,0,7,1,29,2,0,0,95,0,56,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-11,18,18,4,0,1,1,43,43,1,18,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,27,1,1,51,51,1,154,375,548,548,0,0,0,0,607,453,6,29,16,0,42,1,0,0,125,0,57,0,4,0,2,0,2,1,6,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-12,18,18,5,0,1,1,41,41,1,18,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,13,1,1,51,51,1,153,384,344,344,0,0,0,0,272,182,5,41,22,1,26,1,0,0,91,0,51,0,1,0,2,0,1,1,1,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2016-TOTAL,801,801,114,0,1,1,479,480,1,801,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,305,0,0,784,1,1,733,733,1,2202,5509,2323,2398,0,0,0,0,6075,4757,115,200,203,13,452,10,0,680,1583,0,969,0,25,0,17,0,29,2,57,0,32,0,12,12,9,30,0
C.M. ANCIJE _per_2016-01,3704,4281,37,0,21,12,993,1027,14,3704,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,660,2,4,336,339,3,1025,2564,5706,7261,295,293,174,172,17377,9070,38,17,0,0,0,0,0,67,1788,281,0,194,5,0,0,0,0,0,0,0,0,4,7,0,0,0,0
C.M. ANCIJE _per_2016-02,1887,3546,44,0,22,12,991,1043,15,1887,4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,355,2,4,337,338,3,1020,2550,4698,6335,561,555,275,269,16875,8964,21,22,0,11,0,0,0,48,1622,66,0,165,5,0,0,0,0,0,0,0,0,8,7,0,0,0,0
C.M. ANCIJE _per_2016-03,977,2634,34,0,20,12,888,915,16,977,4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,306,2,3,306,312,3,943,2358,4423,5722,462,447,236,221,15662,8461,17,21,0,80,0,0,0,125,1917,309,0,335,11,0,0,0,0,0,0,0,0,19,7,0,0,0,0
C.M. ANCIJE _per_2016-04,893,2609,49,0,22,12,1103,1135,16,893,5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,263,2,3,336,342,3,1028,2601,6699,7978,500,485,178,163,18663,10120,9,25,0,10,0,0,0,103,1699,524,0,437,9,0,0,0,0,0,0,0,0,29,7,0,0,0,0
C.M. ANCIJE _per_2016-05,636,2139,84,0,24,12,1055,1094,16,636,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,274,2,3,342,347,3,1048,2618,5814,7068,415,411,271,267,18086,9398,8,32,0,32,0,0,0,101,1849,425,0,509,10,0,0,0,0,0,0,0,0,8,6,0,0,0,0
C.M. ANCIJE _per_2016-06,471,2019,67,0,24,12,1036,1065,18,472,4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,250,2,3,335,338,3,1018,2564,4920,6096,585,577,670,659,17112,9677,7,27,0,14,0,0,0,109,1327,540,0,290,10,0,0,0,0,0,10,0,0,10,6,0,0,0,0
C.M. ANCIJE _per_2016-07,359,1739,39,0,23,12,891,921,18,359,4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,169,2,3,224,234,3,686,1720,5010,6075,301,287,426,409,15674,8500,4,16,0,12,0,0,0,74,1489,649,0,281,7,0,0,0,0,0,13,0,0,8,6,0,0,0,0
