,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Primera Consulta Médico Prev,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Nutrición,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Psicoprofilaxis de Enfermería,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
C.A.P.I-ANTABAMBA_per_2017-01,186,,156,8,156,1,58,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,5,10,0,0,0,0,0,0,0,0,0,391,320,,,,,,,2,10,0,,173,,,8,,,10,,0,8,,10,,,,,
C.A.P.I-ANTABAMBA_per_2017-02,109,,56,3,56,1,66,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,3,11,0,0,0,0,0,0,0,0,0,199,136,,,,,,,1,11,0,,127,,,10,,,3,,0,6,,14,,,,,
C.A.P.I-ANTABAMBA_per_2017-03,163,,70,5,70,1,81,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0,10,0,0,0,0,0,0,0,0,0,323,281,,,,,,,6,0,0,,0,,,0,,,0,,0,0,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-04,145,,43,3,43,1,80,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,2,23,1,0,0,0,0,0,0,0,0,298,273,,,,,,,0,0,2,,79,,,6,,,0,,0,0,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-05,159,,41,7,41,1,84,82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,1,28,1,81,166,69,1,78,90,1,1,317,249,,,,,,,1,0,0,,64,,,2,,,8,,0,0,,6,,,,,
C.A.P.I-ANTABAMBA_per_2017-06,163,,54,11,54,1,70,70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,3,20,4,169,356,138,0,68,80,1,1,309,257,,,,,,,0,9,0,,50,,,0,,,6,,0,0,,10,,,,,
C.A.P.I-ANTABAMBA_per_2017-07,219,,66,19,66,1,52,44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,1,27,4,159,605,108,1,56,56,1,1,419,279,,,,,,,0,11,0,,150,,,2,,,2,,0,3,,21,,,,,
C.A.P.I-ANTABAMBA_per_2017-08,321,,101,49,101,1,64,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,0,25,7,327,990,169,2,118,122,1,1,403,283,,,,,,,0,1,0,,250,,,4,,,0,,0,3,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-09,344,,48,18,48,1,70,70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,3,35,0,287,492,64,2,116,116,1,1,512,357,,,,,,,0,0,2,,214,,,5,,,0,,3,6,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-10,368,,45,6,45,1,92,92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,5,0,296,578,60,2,118,120,1,1,559,507,,,,,,,0,17,1,,246,,,6,,,0,,2,15,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-11,301,,31,1,31,1,72,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,311,592,53,2,118,120,1,1,534,466,,,,,,,0,1,2,,209,,,3,,,0,,1,8,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-12,269,,36,1,36,1,66,54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,279,466,32,2,102,104,1,1,527,491,,,,,,,1,7,1,,159,,,4,,,0,,0,15,,0,,,,,
C.A.P.I-ASILLO_per_2017-01,339,,302,30,302,1,84,67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,310,775,155,1,90,104,1,1,748,615,,,,,,,4,14,2,18,318,,,2,,,3,,6,2,,2,,,,,
C.A.P.I-ASILLO_per_2017-02,313,,202,50,202,1,80,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,245,620,90,1,80,90,1,1,662,570,,,,,,,2,14,2,12,255,,,3,,,3,,6,2,,2,,,,,
C.A.P.I-ASILLO_per_2017-03,348,,166,67,166,1,81,69,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,324,810,197,1,107,110,1,1,793,627,,,,,,,6,20,0,13,281,,,1,,,3,,5,2,,2,,,,,
C.A.P.I-ASILLO_per_2017-04,320,,143,59,143,1,80,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,254,640,180,1,84,100,1,1,655,578,,,,,,,6,20,2,6,273,,,1,,,1,,6,1,,0,,,,,
C.A.P.I-ASILLO_per_2017-05,304,,115,80,115,1,78,60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,186,570,74,1,61,76,1,1,393,346,,,,,,,1,0,0,2,299,,,1,,,1,,6,1,,0,,,,,
C.A.P.I-ASILLO_per_2017-06,401,,89,39,89,1,74,68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,239,640,109,1,80,85,1,1,669,529,,,,,,,5,19,0,2,393,,,1,,,7,,6,1,,1,,,,,
C.A.P.I-ASILLO_per_2017-07,406,,74,47,74,1,78,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,262,670,69,1,87,88,1,1,729,633,,,,,,,0,0,1,102,385,,,1,,,4,,4,1,,2,,,,,
C.A.P.I-ASILLO_per_2017-08,370,,56,32,56,1,78,74,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,283,710,70,1,92,92,1,1,508,432,,,,,,,3,10,1,58,372,,,1,,,3,,3,1,,1,,,,,
C.A.P.I-ASILLO_per_2017-09,391,,48,25,48,1,76,76,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,299,748,55,1,96,96,1,1,602,501,,,,,,,2,20,1,112,363,,,1,,,5,,5,1,,4,,,,,
C.A.P.I-ASILLO_per_2017-10,405,,47,37,47,1,83,83,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,316,795,59,1,100,100,1,1,557,500,,,,,,,2,18,2,140,372,,,3,,,9,,6,1,,4,,,,,
C.A.P.I-ASILLO_per_2017-11,394,,41,24,41,1,82,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,311,780,44,1,100,100,1,1,591,470,,,,,,,0,30,1,136,370,,,3,,,10,,6,1,,2,,,,,
C.A.P.I-ASILLO_per_2017-12,318,,33,22,33,1,64,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,276,715,42,1,92,92,1,1,487,391,,,,,,,1,6,1,94,309,,,1,,,2,,2,1,,1,,,,,
C.A.P.I-CAMPO VERDE_per_2017-01,608,,323,38,323,1,118,117,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,22,,313,421,257,1,63,100,1,1,1333,1030,,,,,,,0,16,0,95,0,65,,,,,6,,4,0,,4,,,63,,
C.A.P.I-CAMPO VERDE_per_2017-02,559,,208,21,208,1,110,109,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,17,,333,402,180,1,67,100,1,1,1158,881,,,,,,,3,18,0,89,401,70,,,,,4,,4,0,,3,,,66,,
C.A.P.I-CAMPO VERDE_per_2017-03,492,,115,30,115,1,100,99,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,52,,309,492,141,1,103,105,1,1,1217,841,,,,,,,0,19,3,71,139,64,,,,,1,,5,0,,2,,,60,,
C.A.P.I-CAMPO VERDE_per_2017-04,549,,78,32,78,1,110,110,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,61,,279,717,105,1,93,100,1,1,1394,903,,,,,,,0,17,0,73,111,54,,,,,3,,6,0,,2,,,54,,
C.A.P.I-CAMPO VERDE_per_2017-05,533,,79,36,79,1,108,107,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,307,803,93,1,103,108,1,1,1232,883,,,,,,,0,2,1,70,148,0,,,,,2,,2,0,,2,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-06,723,,319,278,319,1,134,134,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,38,,361,885,215,1,120,120,1,1,1245,979,,,,,,,0,6,1,60,77,0,,,,,3,,2,0,,1,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-07,453,,49,36,49,1,100,91,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,41,,281,751,63,1,94,100,1,1,868,616,,,,,,,0,29,0,40,63,0,,,,,4,,3,1,,1,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-08,479,,64,38,63,1,100,96,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,45,,277,823,48,1,92,100,1,1,1334,963,,,,,,,2,18,6,50,182,0,,,,,0,,3,0,,0,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-09,496,,59,39,59,1,100,99,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,58,,294,619,42,1,98,100,1,1,1106,812,,,,,,,0,16,3,43,144,0,,,,,3,,4,0,,1,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-10,677,,48,27,48,2,147,135,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,86,,299,863,26,1,100,100,1,1,1207,852,,,,,,,0,20,2,40,151,0,,,,,2,,4,1,,1,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-11,924,,272,253,271,1,206,185,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,70,,257,814,36,1,86,100,1,1,1299,961,,,,,,,0,51,2,45,161,0,,,,,4,,4,0,,1,,,0,,
C.A.P.I-CAMPO VERDE_per_2017-12,717,,69,50,69,2,200,144,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,69,,251,332,35,1,84,100,1,1,1168,870,,,,,,,1,11,2,46,101,0,,,,,2,,4,0,,1,,,0,,
C.A.P.I-CAP I LARAQUERI_per_2017-01,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-02,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-03,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-04,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-05,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-06,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-07,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
C.A.P.I-CAP I LARAQUERI_per_2017-12,117,,70,70,70,1,20,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,215,67,1,28,28,1,1,165,165,,,,,,,,,,,78,,,,,,,,,,,,,,,,
C.A.P.I-CASCAS_per_2017-01,294,,273,17,273,1,60,60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,571,565,,,,,,,0,20,1,70,210,,,2,,,1,,2,5,,4,,,,,
C.A.P.I-CASCAS_per_2017-02,247,,139,17,139,1,61,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,552,545,,,,,,,14,4,0,62,198,,,2,,,2,,2,5,,6,,,,,
C.A.P.I-CASCAS_per_2017-03,272,,120,10,120,1,64,59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,525,525,,,,,,,1,17,0,49,205,,,2,,,2,,2,3,,3,,,,,
C.A.P.I-CASCAS_per_2017-04,269,,85,17,85,1,61,57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,636,635,,,,,,,0,0,0,58,235,,,2,,,1,,2,5,,5,,,,,
C.A.P.I-CASCAS_per_2017-05,311,,71,17,71,1,56,56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,283,113,1,38,46,1,1,598,592,,,,,,,6,17,0,41,244,,,2,,,2,,2,1,,5,,,,,
C.A.P.I-CASCAS_per_2017-06,304,,74,21,74,1,61,61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,365,134,1,57,58,1,1,503,487,,,,,,,2,26,2,81,248,,,3,,,1,,2,4,,4,,,,,
C.A.P.I-CASCAS_per_2017-07,341,,56,16,56,1,63,63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,376,104,1,60,62,1,1,602,587,,,,,,,1,0,0,64,233,,,2,,,4,,2,2,,6,,,,,
C.A.P.I-CASCAS_per_2017-08,327,,53,19,53,1,63,63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,460,100,1,66,67,1,1,605,569,,,,,,,2,22,2,73,223,,,3,,,2,,2,3,,6,,,,,
C.A.P.I-CASCAS_per_2017-09,315,,34,14,34,1,63,63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,458,85,1,70,71,1,1,427,401,,,,,,,4,7,1,63,246,,,3,,,1,,4,6,,4,,,,,
C.A.P.I-CASCAS_per_2017-10,282,,47,17,47,1,56,55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,542,78,1,81,89,1,1,544,517,,,,,,,3,14,0,78,244,,,2,,,1,,4,4,,8,,,,,
C.A.P.I-CASCAS_per_2017-11,344,,24,8,24,1,67,66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,538,95,1,78,84,1,1,654,630,,,,,,,1,16,6,69,220,,,2,,,4,,4,1,,6,,,,,
C.A.P.I-CASCAS_per_2017-12,294,,27,12,27,1,58,55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,367,62,1,44,45,1,1,712,686,,,,,,,1,9,1,83,154,,,1,,,2,,6,5,,6,,,,,
C.A.P.I-CHAVALINA_per_2017-01,240,,240,74,240,1,78,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,482,364,,,,,,,1,15,4,74,325,,,5,,,4,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-02,337,,215,17,215,1,150,76,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,345,126,1,46,78,1,1,782,443,,,,,,,3,48,2,15,393,,,5,,,5,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-03,247,,121,16,121,1,138,57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,222,82,1,30,66,1,1,754,573,,,,,,,3,34,0,16,284,,,6,,,4,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-04,262,,101,19,101,1,150,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,317,75,1,42,66,1,1,641,544,,,,,,,0,0,2,15,316,,,5,,,0,,0,3,,0,,,,,
C.A.P.I-CHAVALINA_per_2017-05,355,,144,21,144,1,78,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,320,62,1,43,78,1,1,814,760,,,,,,,0,0,2,21,339,,,5,,,0,,0,3,,0,,,,,
C.A.P.I-CHAVALINA_per_2017-06,269,,65,19,65,1,72,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,120,29,1,16,36,1,1,574,505,,,,,,,0,8,3,19,344,,,5,,,0,,0,3,,0,,,,,
C.A.P.I-CHAVALINA_per_2017-07,220,,69,15,69,1,78,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,222,43,1,30,57,1,1,631,491,,,,,,,0,0,2,18,271,,,5,,,3,,1,3,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-08,215,,53,18,53,1,68,50,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,617,89,1,82,130,1,1,627,371,,,,,,,2,0,1,41,280,,,2,,,4,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-09,242,,50,10,50,1,67,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,705,100,1,94,134,1,1,730,409,,,,,,,5,15,1,10,280,,,2,,,4,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-10,263,,50,31,50,1,72,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,663,75,1,88,134,1,1,960,691,,,,,,,0,44,3,31,324,,,5,,,5,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-11,230,,57,14,57,1,66,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,452,46,1,56,68,1,1,874,699,,,,,,,0,0,3,62,296,,,4,,,5,,1,2,,1,,,,,
C.A.P.I-CHAVALINA_per_2017-12,244,,62,23,62,1,66,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,352,34,1,56,68,1,1,827,725,,,,,,,0,28,1,0,306,,,5,,,0,,0,2,,0,,,,,
C.A.P.I-CHICAMA_per_2017-01,983,,735,36,735,2,192,192,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,580,226,1,88,88,1,1,1350,1243,,,,,,,9,0,5,40,41,,,1,,,3,,1,0,,0,,,,,
C.A.P.I-CHICAMA_per_2017-02,591,,569,36,569,2,112,112,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,509,168,1,84,84,1,1,1350,963,,,,,,,4,4,7,40,155,,,5,,,2,,1,2,,0,,,,,
C.A.P.I-CHICAMA_per_2017-03,494,,167,20,167,2,100,98,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,377,112,1,80,80,1,1,1229,745,,,,,,,3,15,1,25,171,,,3,,,0,,0,3,,0,,,,,
C.A.P.I-CHICAMA_per_2017-04,574,,248,47,248,2,104,104,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,370,106,1,64,64,1,1,1251,973,,,,,,,8,6,1,50,163,,,3,,,2,,2,15,,0,,,,,
C.A.P.I-CHICAMA_per_2017-05,990,,245,49,245,2,192,192,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,260,128,1,78,78,1,1,1566,1372,,,,,,,7,2,1,40,178,,,5,,,0,,1,1,,0,,,,,
C.A.P.I-CHICAMA_per_2017-06,984,,203,40,203,2,192,184,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,439,128,1,84,84,1,1,2340,2340,,,,,,,10,5,0,20,196,,,4,,,3,,4,10,,2,,,,,
C.A.P.I-CHICAMA_per_2017-07,884,,184,49,184,2,171,171,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,745,132,1,76,76,1,1,2010,1674,,,,,,,8,36,4,32,219,,,4,,,3,,2,10,,0,,,,,
C.A.P.I-CHICAMA_per_2017-08,831,,176,37,176,3,153,153,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,813,138,1,84,84,1,1,1894,1586,,,,,,,9,4,3,25,208,,,6,,,2,,3,3,,0,,,,,
C.A.P.I-CHICAMA_per_2017-09,1039,,182,54,182,4,212,208,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,693,91,1,76,76,1,1,2116,1862,,,,,,,0,65,3,34,198,,,4,,,2,,2,5,,1,,,,,
C.A.P.I-CHICAMA_per_2017-10,1075,,150,56,150,4,212,204,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,652,111,1,80,80,1,1,2470,2009,,,,,,,7,17,1,30,159,,,3,,,0,,3,4,,0,,,,,
C.A.P.I-CHICAMA_per_2017-11,1080,,155,58,155,3,208,202,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,635,100,1,76,76,1,1,2559,1906,,,,,,,12,30,3,31,163,,,4,,,0,,3,5,,2,,,,,
C.A.P.I-CHICAMA_per_2017-12,1051,,95,40,95,3,228,200,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,580,100,1,76,76,1,1,2004,1599,,,,,,,3,31,4,28,87,,,2,,,4,,3,5,,2,,,,,
C.A.P.I-CHIVAY_per_2017-01,290,,246,44,246,1,80,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,144,350,85,1,92,100,1,1,979,840,,,,,,,0,14,0,64,218,,,0,,,0,,1,0,,1,,35,,,
C.A.P.I-CHIVAY_per_2017-02,325,,217,32,217,1,92,65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,134,304,69,1,92,100,1,1,1032,890,,,,,,,0,14,1,69,271,,,0,,,0,,1,0,,1,,31,,,
C.A.P.I-CHIVAY_per_2017-03,264,,101,30,101,1,80,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,92,174,55,1,92,100,1,1,926,760,,,,,,,0,12,4,16,294,,,2,,,0,,2,3,,2,,30,,,
C.A.P.I-CHIVAY_per_2017-04,337,,108,31,108,1,80,67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,55,88,34,1,92,100,1,1,1534,1409,,,,,,,0,12,7,42,340,,,1,,,1,,1,3,,2,,3,,,
C.A.P.I-CHIVAY_per_2017-05,447,,173,52,173,1,92,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,83,126,55,1,92,100,1,1,1555,1500,,,,,,,0,0,2,33,231,,,0,,,0,,0,0,,0,,30,,,
C.A.P.I-CHIVAY_per_2017-06,403,,113,39,113,1,92,81,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,71,128,36,1,92,100,1,1,1638,1569,,,,,,,0,8,2,34,306,,,0,,,0,,0,0,,1,,36,,,
C.A.P.I-CHIVAY_per_2017-07,492,,132,56,132,1,98,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,114,183,62,1,92,100,1,1,2105,1970,,,,,,,0,9,4,79,208,,,1,,,0,,0,0,,1,,27,,,
C.A.P.I-CHIVAY_per_2017-08,401,,50,30,50,1,80,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,166,238,67,1,92,100,1,1,1757,1700,,,,,,,0,13,1,31,222,,,2,,,0,,0,0,,1,,29,,,
C.A.P.I-CHIVAY_per_2017-09,416,,66,36,66,1,84,84,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,113,180,43,1,92,95,1,1,1802,1750,,,,,,,0,0,0,29,215,,,0,,,0,,0,0,,0,,25,,,
C.A.P.I-CHIVAY_per_2017-10,444,,50,31,50,1,90,89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,116,155,37,1,96,98,1,1,1873,1800,,,,,,,0,26,2,33,225,,,0,,,0,,0,0,,2,,27,,,
C.A.P.I-CHIVAY_per_2017-11,375,,50,36,50,1,75,75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,121,220,34,1,96,100,1,1,1797,1752,,,,,,,3,4,7,69,206,,,0,,,0,,0,3,,0,,28,,,
C.A.P.I-CHIVAY_per_2017-12,409,,40,21,40,1,84,82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,129,246,40,1,92,92,1,1,1633,1580,,,,,,,8,38,5,64,183,,,0,,,0,,0,0,,1,,26,,,
C.A.P.I-CHURCAMPA_per_2017-01,514,,326,7,326,1,150,150,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,1,364,1896,263,1,100,100,1,2,1700,564,436,292,,,,,5,16,0,62,354,,,1,,,2,,1,0,,2,,,,,
C.A.P.I-CHURCAMPA_per_2017-02,549,,266,23,266,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,329,1651,274,1,100,100,1,2,2062,661,685,595,,,,,6,13,1,36,327,,,0,,,2,,2,0,,2,,,,,
C.A.P.I-CHURCAMPA_per_2017-03,699,,182,12,182,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0,0,518,2667,257,1,100,100,1,2,1954,846,421,0,,,,,5,15,0,11,278,,,1,,,1,,1,0,,1,,,,,
C.A.P.I-CHURCAMPA_per_2017-04,608,,105,9,105,1,100,100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,0,2,11,513,2283,131,1,100,100,1,2,1878,547,608,369,,,,,6,21,2,38,277,,,1,,,2,,2,0,,2,,,,,
