,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Primera Consulta Médico Prev,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Nutrición,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Psicoprofilaxis de Enfermería,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
P.M.-NEGRITOS_per_2017-12,561,,70,34,70,1,121,105,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,127,42,1,28,28,1,1,1162,762,,,,,,,6,5,2,55,263,,,4,,,0,,0,8,,0,,18,,,
P.M.-OLMOS_per_2017-01,530,,429,55,429,1,104,132,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,2,12,2,101,282,88,1,34,96,1,1,1283,954,,,,,,,0,40,4,0,375,,,,,,2,,0,2,,0,,,,,
P.M.-OLMOS_per_2017-02,351,,215,41,215,1,106,88,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,3,4,0,3,6,1,1,1,1,1,1,641,631,,,,,,,2,16,4,0,460,,,,,,6,,0,2,,0,,,,,
P.M.-OLMOS_per_2017-03,391,,199,34,199,1,115,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,4,4,0,0,0,0,0,0,0,0,1055,704,,,,,,,3,0,8,0,573,,,,,,2,,0,0,,0,,,,,
P.M.-OLMOS_per_2017-04,167,,83,13,83,1,98,42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,659,300,,,,,,,0,47,1,0,0,,,,,,0,,0,0,,0,,,,,
P.M.-OLMOS_per_2017-05,254,,96,22,96,1,105,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,5,3,3,0,0,0,0,0,0,0,0,1397,457,,,,,,,2,0,3,0,434,,,,,,3,,0,1,,0,,,,,
P.M.-OLMOS_per_2017-06,451,,148,50,148,1,100,112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,0,0,0,0,0,0,0,0,0,1962,812,,,,,,,1,50,5,0,349,,,,,,4,,1,0,,2,,,,,
P.M.-OLMOS_per_2017-07,498,,173,56,173,1,130,125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,4,10,0,0,0,0,0,0,0,0,0,1888,897,,,,,,,12,15,3,0,299,,,,,,2,,1,0,,1,,,,,
P.M.-OLMOS_per_2017-08,490,,167,52,167,1,100,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,0,16,10,0,0,0,0,0,0,0,0,2147,882,,,,,,,12,51,2,0,339,,,,,,6,,1,0,,1,,,,,
P.M.-OLMOS_per_2017-09,628,,208,77,208,1,150,150,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,0,17,15,76,194,58,1,25,64,1,1,1896,1130,,,,,,,7,51,6,6,486,,,,,,6,,0,0,,0,,,,,
P.M.-OLMOS_per_2017-10,583,,171,76,171,1,150,145,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,2,10,9,79,231,58,1,26,64,1,1,1848,1049,,,,,,,5,2,7,0,508,,,,,,4,,0,0,,0,,,,,
P.M.-OLMOS_per_2017-11,563,,186,102,186,1,150,141,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,5,11,86,214,50,1,29,68,1,1,1550,1013,,,,,,,7,0,3,0,387,,,,,,4,,0,0,,1,,,,,
