,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CONSULTAS MEDICINA COMPLEMENTARIA,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-01,44,44,0,0,1,1,12,12,3,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25460,0,0,0,0,5605,229,0,0,0,0,0,0,0,66,44,72,0,46,3,2,0,0,0,0,22,0,0,17,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-02,0,0,0,0,1,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19486,0,0,0,0,5335,211,0,0,0,0,0,0,0,66,42,72,0,45,5,2,0,0,0,0,25,0,0,21,51,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-03,2,2,1,0,1,1,12,12,2,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55265,0,0,0,0,5088,210,0,0,0,0,0,0,0,66,44,73,0,42,4,2,0,0,0,0,23,0,0,19,52,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-04,1,1,1,0,1,1,12,12,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54149,0,0,0,0,5324,209,0,0,0,0,0,0,0,66,42,71,0,57,4,2,0,0,0,0,25,0,0,21,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-05,0,0,0,0,2,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21870,0,0,0,0,4311,233,0,0,0,0,0,0,0,66,42,72,0,43,3,2,0,0,0,0,24,0,0,20,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-06,1,1,0,0,1,1,12,13,3,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21345,0,0,0,0,4741,223,0,0,0,0,0,0,0,66,43,73,0,63,4,2,0,0,0,0,23,0,0,21,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-07,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47910,0,0,0,0,4947,230,0,0,0,0,0,0,0,66,43,72,0,60,5,2,0,0,0,0,18,0,0,11,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-08,1,1,1,0,1,1,12,12,3,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55735,0,0,0,0,4915,238,0,0,0,0,0,0,0,66,43,72,0,42,4,3,0,0,0,0,22,0,0,14,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-09,2,2,2,0,1,1,12,12,3,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33184,0,0,0,0,3644,227,0,0,0,0,0,0,0,66,45,72,0,42,6,2,0,0,0,0,22,0,0,14,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-10,1,1,1,0,1,1,12,12,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27838,0,0,0,0,3377,224,0,0,0,0,0,0,0,66,46,73,0,42,6,2,0,0,0,0,23,0,0,18,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-11,2,2,2,0,1,1,12,12,3,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50406,0,0,0,0,4367,249,0,0,0,0,0,0,0,85,47,74,0,46,4,2,0,0,0,0,24,0,0,21,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-12,1,1,1,0,1,1,12,12,3,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65257,0,0,0,0,4872,243,0,0,0,0,0,0,0,66,42,72,0,71,2,2,0,0,0,0,17,0,0,17,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-TOTAL,55,55,9,0,1,1,144,145,3,55,522,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477905,0,0,0,0,56526,2726,0,0,0,0,0,0,0,811,523,868,0,599,50,25,0,0,0,0,268,0,0,214,666,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-01,1744,2061,279,0,9,6,866,866,49,1744,2355,0,39,2,5,1209,284,1779,1038,0,0,93,12,15,8,0,550,474,115,11,3,0,0,0,0,0,0,0,0,30,90,125,0,177,68,171,1,2,108,108,2,263,489,0,0,1179,303,156,58,11400,4349,0,0,0,0,0,0,0,128,350,0,0,115,0,0,0,0,0,0,0,0,0,1,192,0,7,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-02,973,1335,245,0,9,6,768,768,51,973,2167,0,40,0,7,1120,253,2163,936,0,0,94,14,19,3,0,547,476,111,13,3,0,0,0,0,0,0,0,0,18,66,108,0,145,43,85,1,2,72,72,2,156,295,0,0,1266,288,141,62,10189,3877,0,0,0,0,0,0,0,222,359,0,0,111,0,0,0,0,0,0,0,0,0,3,194,0,17,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-03,692,1078,198,0,9,6,866,866,52,692,2452,0,40,5,8,1240,318,2228,1093,0,0,96,16,13,5,0,592,508,117,12,3,0,0,0,0,0,0,0,0,27,84,113,0,166,58,81,1,2,108,108,2,261,453,0,0,1268,319,189,53,11795,4251,0,0,0,0,0,0,0,329,460,0,0,151,0,0,0,0,0,0,0,0,0,2,194,0,16,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-04,504,830,201,0,9,6,803,803,52,504,2220,0,40,1,8,1200,300,2279,1064,0,0,84,23,7,5,0,535,470,119,15,3,0,0,0,0,0,0,0,0,10,75,125,0,151,59,81,1,2,104,104,2,229,442,0,0,1115,258,166,66,10977,3959,0,0,0,0,0,0,0,184,371,0,0,150,0,0,0,0,0,0,0,0,0,2,194,0,12,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-05,433,676,212,0,9,6,727,727,48,433,2010,0,39,5,7,1209,296,2697,976,0,0,116,17,10,5,0,542,521,126,13,3,0,0,0,0,0,0,0,0,20,81,101,0,146,56,69,1,2,104,104,2,220,326,0,0,1069,232,166,43,10329,3887,0,0,0,0,0,0,0,136,384,0,0,123,0,0,0,0,0,0,0,0,0,2,192,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-06,459,757,240,0,9,6,875,875,51,459,2404,0,40,2,6,1200,302,2189,1049,0,0,118,12,13,9,0,581,592,145,17,3,0,0,0,0,0,0,0,0,20,91,123,0,171,63,75,1,2,108,108,2,259,412,0,0,1149,285,301,67,11682,4142,0,0,0,0,0,0,0,160,406,154,0,147,0,0,0,0,0,0,0,0,0,3,195,0,10,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-07,365,609,212,0,9,6,886,886,51,365,2258,0,40,2,5,1240,293,2397,1012,0,0,105,15,9,4,0,592,544,139,22,3,0,0,0,0,0,0,0,0,22,69,135,0,176,50,53,1,2,72,72,2,175,246,0,0,1220,249,151,83,10875,4019,0,0,0,0,0,0,0,80,320,153,0,172,0,0,0,0,0,0,0,0,0,2,195,0,9,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-08,346,602,218,0,9,6,780,780,48,346,2139,0,39,5,8,1209,287,2545,1060,0,0,111,6,12,4,0,581,525,119,11,3,0,0,0,0,0,0,0,0,28,74,136,0,177,61,110,1,2,108,108,2,257,337,0,0,1175,248,148,29,11049,3706,0,0,0,0,0,0,0,215,414,100,0,203,0,0,0,0,0,0,0,0,0,3,193,0,6,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-09,414,656,260,0,9,6,802,802,48,414,2238,0,39,2,6,1170,296,2308,976,0,0,118,11,21,7,0,580,530,136,20,3,0,0,0,0,0,0,0,0,27,73,126,0,170,56,74,1,2,100,100,2,242,361,0,0,1172,285,178,71,14851,3624,0,0,0,0,0,0,0,132,384,87,0,263,0,0,0,0,0,0,0,0,0,2,193,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-10,355,570,222,0,9,6,702,702,44,355,2055,0,39,1,5,1209,256,2456,958,0,0,116,11,18,4,0,586,570,128,12,3,0,0,0,0,0,0,0,0,27,60,99,0,136,50,77,1,2,96,96,2,223,350,0,0,1251,260,160,31,19616,3652,0,0,0,0,0,0,0,144,398,154,0,240,0,0,0,0,0,0,0,0,0,1,193,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-11,341,577,249,0,9,6,755,755,47,341,2174,0,38,5,4,1140,250,2111,752,0,0,121,5,14,2,0,551,542,111,5,3,0,0,0,0,0,0,0,0,23,55,94,0,128,44,89,1,2,104,104,2,242,376,0,0,1180,302,209,73,17194,3711,0,0,0,0,0,0,0,82,261,47,0,245,0,0,0,0,0,0,0,0,0,4,193,0,4,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-12,296,505,212,0,9,6,733,733,47,296,1983,0,38,2,6,1178,209,1889,637,0,0,61,4,10,1,0,525,347,79,14,2,0,0,0,0,0,0,0,0,29,76,71,0,122,54,41,1,2,52,52,2,110,156,0,0,1009,199,80,21,15269,3383,0,0,0,0,0,0,0,127,343,119,0,199,0,0,0,0,0,0,0,0,0,4,194,0,5,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2015-TOTAL,6922,10256,2748,0,9,6,9563,9563,49,6922,26455,0,39,32,75,14324,3344,27041,11551,0,0,1233,146,161,57,0,6762,6099,1445,165,3,0,0,0,0,0,0,0,0,281,894,1356,0,1865,662,1006,1,2,1136,1136,2,2637,4243,0,0,14053,3228,2045,657,155226,46560,0,0,0,0,0,0,0,1939,4450,814,0,2119,0,0,0,0,0,0,0,0,0,29,2322,0,94,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-01,1564,1807,55,0,5,7,469,469,10,1573,2052,0,6,0,0,186,139,159,157,3,0,39,8,160,0,0,318,288,216,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201,3332,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-02,740,968,74,0,5,7,390,410,9,748,1733,0,6,0,0,168,133,151,153,2,0,28,9,147,0,0,320,291,192,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5195,3160,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-03,520,756,184,0,5,7,415,415,10,528,1994,0,6,0,0,186,148,162,171,0,0,40,14,170,0,0,355,325,235,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5939,3710,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-04,685,895,285,0,5,7,524,524,11,693,2249,0,6,0,0,180,134,154,154,0,0,40,8,162,0,0,294,263,220,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6278,3972,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-05,560,788,218,0,6,7,556,556,14,564,2210,0,6,0,0,186,152,174,166,0,0,51,17,161,0,0,312,307,234,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6025,3731,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-06,597,828,268,0,7,7,666,666,14,608,2556,0,6,0,0,180,134,163,169,0,0,75,18,150,0,0,337,318,255,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6876,4386,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-07,597,631,211,0,7,7,560,560,12,609,2215,0,6,0,0,186,140,161,166,1,0,76,11,112,0,0,271,257,207,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5744,3612,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-08,304,497,177,0,7,7,581,581,13,312,2279,0,6,0,0,186,144,167,166,1,0,89,19,98,0,0,298,272,214,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915,3562,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-09,366,569,236,0,8,7,580,580,13,380,2225,0,7,0,0,210,146,165,178,0,0,83,11,121,0,0,320,303,226,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6565,4090,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-10,519,564,236,0,8,7,568,568,13,528,2230,0,6,0,0,186,152,175,168,1,0,74,11,126,0,0,316,306,215,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6151,4160,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-11,594,798,357,0,8,7,670,670,12,602,2680,0,6,0,0,180,133,155,164,1,0,77,12,135,0,0,286,268,235,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6921,4788,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-12,379,552,231,0,8,7,529,529,14,389,2232,0,6,0,0,186,152,166,158,1,0,74,14,122,0,0,279,257,218,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,3586,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2015-TOTAL,7425,9653,2532,0,7,7,6508,6528,12,7534,26655,0,6,0,0,2220,1707,1952,1970,10,0,746,152,1664,0,0,3706,3455,2667,105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72510,46089,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,144,0,0,0,0
C.M. ACOMAYO _per_2015-01,207,207,26,0,1,1,45,45,1,207,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,176,1,1,58,58,1,176,454,0,0,0,0,0,0,492,370,0,6,35,15,36,0,0,137,153,0,122,0,1,0,1,0,5,0,7,0,2,0,1,1,1,1,0
C.M. ACOMAYO _per_2015-02,114,114,18,0,1,1,34,34,1,114,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,77,1,1,60,60,1,180,446,0,0,0,0,0,0,401,288,0,14,9,8,44,1,0,126,128,0,101,0,1,0,1,0,4,0,9,0,6,0,1,1,1,3,0
C.M. ACOMAYO _per_2015-03,140,140,23,0,1,1,36,36,1,140,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,78,1,1,54,54,1,164,419,0,0,0,0,0,0,455,357,0,4,13,9,52,0,0,145,143,0,121,0,6,0,2,0,1,0,12,0,5,0,1,1,1,7,0
C.M. ACOMAYO _per_2015-04,98,98,17,0,1,1,41,41,1,98,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,52,1,1,52,52,1,158,399,0,0,0,0,0,0,537,387,0,5,12,13,41,0,0,107,160,0,107,0,3,0,1,0,4,0,10,0,1,0,1,1,1,2,0
C.M. ACOMAYO _per_2015-05,55,55,18,0,1,1,40,40,1,55,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,64,1,1,54,54,1,162,379,0,0,0,0,0,0,446,350,2,10,7,15,38,2,0,156,194,0,116,0,3,0,2,0,2,0,8,0,9,0,1,1,0,8,0
C.M. ACOMAYO _per_2015-06,46,46,16,0,1,1,40,40,1,46,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,57,1,1,56,56,1,169,461,0,0,0,0,0,0,350,268,2,7,9,20,32,0,0,150,211,0,101,0,3,0,0,0,4,0,19,0,4,0,1,1,3,19,0
C.M. ACOMAYO _per_2015-07,45,45,17,0,1,1,41,41,1,45,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,46,1,1,60,60,1,180,446,0,0,0,0,0,0,343,257,2,10,10,13,41,1,0,152,171,0,103,0,3,0,2,0,3,0,9,0,2,0,1,1,2,1,0
C.M. ACOMAYO _per_2015-08,86,86,34,0,1,1,53,53,1,86,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,46,1,1,62,62,1,186,440,0,0,0,0,0,0,348,280,1,5,9,14,48,1,0,167,213,0,122,0,4,0,2,0,4,0,8,0,2,0,1,1,3,4,0
C.M. ACOMAYO _per_2015-09,45,45,20,0,1,1,49,49,1,45,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,34,1,1,60,60,1,179,446,0,0,0,0,0,0,461,328,1,16,11,11,38,2,0,144,176,0,105,0,2,0,1,0,3,0,10,0,2,0,1,1,3,11,0
C.M. ACOMAYO _per_2015-10,23,23,13,0,2,2,53,53,2,23,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,22,0,0,32,1,1,60,60,1,179,448,0,0,0,0,0,0,544,406,2,8,8,19,33,0,0,144,177,0,110,0,2,0,2,0,4,0,9,0,4,0,1,1,2,2,0
C.M. ACOMAYO _per_2015-11,53,53,31,0,2,2,61,61,2,53,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25,0,0,50,1,1,72,72,1,216,540,0,0,0,0,0,0,598,502,1,21,4,18,35,0,0,168,181,0,107,0,3,0,2,0,6,0,8,0,4,0,1,1,3,5,0
C.M. ACOMAYO _per_2015-12,18,18,9,0,2,2,51,51,2,18,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,0,0,43,1,1,72,72,1,217,601,0,0,0,0,0,0,357,275,0,7,2,18,34,5,0,168,191,0,101,0,2,0,1,0,6,0,6,0,8,0,1,1,1,4,0
C.M. ACOMAYO _per_2015-TOTAL,930,930,242,0,1,1,544,544,1,930,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,228,0,0,755,1,1,720,720,1,2166,5479,0,0,0,0,0,0,5332,4068,11,113,129,173,472,12,0,1764,2098,0,1316,0,33,0,17,0,46,0,115,0,49,0,12,12,21,67,0
C.M. ANCIJE _per_2015-01,4265,5159,54,0,21,12,1096,1176,16,4266,5483,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,471,2,3,271,288,3,831,2079,6624,7588,368,363,490,486,18380,11587,0,17,32,0,0,44,0,155,1949,116,0,317,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2015-02,1935,3829,67,0,22,12,1029,1096,17,1936,5149,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,274,2,3,281,298,3,866,2166,4511,8147,522,502,685,664,17864,10337,0,20,32,0,0,116,0,82,1986,232,0,220,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2015-03,1383,3729,69,0,24,12,1230,1324,17,1384,6151,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,219,2,3,305,316,3,941,2353,6393,7877,510,493,579,566,20364,12148,0,19,38,0,0,60,0,181,2271,314,0,187,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2015-04,884,2872,118,0,24,12,1132,1230,17,885,5660,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,241,2,3,278,293,3,846,2117,5481,7665,447,433,567,545,19234,11181,0,18,81,0,0,26,0,157,2097,314,0,182,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2015-05,577,2320,74,0,21,12,1037,1110,16,577,5190,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,243,2,3,301,312,3,911,2278,4448,7172,453,435,519,501,17377,10220,0,17,0,0,0,22,0,153,2031,295,0,164,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2015-06,539,2238,89,0,24,12,1203,1292,17,539,5619,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,192,2,3,302,313,3,911,2278,5218,6881,511,502,278,269,18718,9853,0,22,82,0,0,29,0,135,1884,316,0,162,6,0,0,0,0,0,0,0,0,7,7,0,0,0,0
