,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CONSULTAS MEDICINA COMPLEMENTARIA,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-04,2154,4528,244,381,23,10,1843,1908,23,2160,8568,1,45,0,6,1350,447,1266,1307,0,0,0,86,16,6,5,108,126,55,0,1,44,77,79,45,33,1,108,44,1,115,4213,1569,1715,56,463,2,3,302,326,3,872,3432,10405,25320,729,434,1003,659,44994,17323,38,101,583,16,919,29,0,0,1496,458,883,48,7,0,0,0,12,6,35,0,8,2,40,10,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-05,1815,3939,268,60,23,10,1750,1775,23,1816,8346,7,45,1,5,1395,448,1313,1175,0,0,0,83,11,5,3,144,116,50,0,1,37,66,67,37,30,1,99,36,0,75,3660,2162,1817,47,496,2,3,356,356,3,1025,3884,10273,25157,1059,748,1765,1339,42323,16788,39,101,476,7,854,28,0,0,1531,435,1021,135,6,0,0,0,12,6,0,0,6,0,40,10,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-06,1232,2789,225,0,22,10,1558,1586,22,1237,7467,15,45,0,6,1350,345,1065,1078,0,0,0,81,13,0,8,138,118,54,0,1,45,77,78,45,33,1,126,42,2,151,3621,1141,1236,37,421,2,3,336,336,3,1008,3791,9167,20592,967,716,1620,1274,39371,13783,31,217,274,18,826,27,2,0,1765,418,843,159,6,0,2,0,12,2,0,0,6,1,40,10,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-07,1365,3151,288,0,23,10,1819,1858,23,1368,8318,52,32,1,3,992,266,850,818,0,0,0,79,6,1,6,90,108,48,0,1,45,66,67,46,20,1,131,23,2,87,3153,967,1271,19,391,2,3,294,294,3,908,3430,9831,20068,838,557,1294,933,37767,16050,32,88,392,4,759,33,15,0,1806,375,628,104,2,0,0,0,11,4,2,0,5,0,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-08,1430,3719,292,0,25,10,2173,2248,25,1430,10004,50,32,1,3,992,252,712,682,0,0,0,64,13,3,9,138,126,39,0,1,39,63,63,40,22,1,93,30,0,63,2754,1096,1118,39,320,2,3,210,210,3,668,2450,9155,17971,952,668,1281,942,37367,18055,48,168,625,29,812,167,9,0,1864,328,1356,138,7,0,2,0,14,10,3,0,3,1,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-09,1320,3713,286,0,25,10,2287,2330,25,1322,10174,0,32,1,2,960,241,651,627,0,0,0,86,12,6,13,150,144,60,0,1,41,65,65,43,22,1,95,31,0,99,3018,1140,1221,25,410,2,3,322,322,3,1034,3919,10221,19006,1137,794,1640,1214,40117,19327,29,831,459,15,744,157,11,0,2029,336,1788,86,13,0,10,0,13,7,13,0,5,0,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-10,1095,3274,270,0,24,10,2167,2197,24,1096,9690,26,32,2,5,992,269,725,750,0,0,0,78,14,1,15,144,132,53,0,1,42,65,65,42,22,1,112,34,0,37,2956,1082,1200,46,438,2,3,336,336,3,1072,3944,11088,20347,1073,776,1600,1239,41053,18035,52,510,592,16,864,164,0,0,1840,0,1752,124,6,0,3,0,16,6,60,0,0,0,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-11,1141,3365,295,0,25,10,2347,2384,25,1143,10764,1,32,1,0,960,245,696,676,0,0,0,71,11,7,8,150,138,54,0,1,30,49,50,30,20,1,77,30,0,21,2733,1527,1266,38,425,2,3,342,346,3,1063,3954,11125,20664,1080,777,1533,1164,40120,19270,55,339,734,7,921,63,0,169,2143,376,1626,0,19,1,13,0,12,9,125,0,3,0,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-12,738,2336,217,0,25,10,1908,1985,25,739,8721,42,32,0,1,992,230,653,579,0,0,0,68,11,4,13,144,132,49,0,1,32,50,51,32,19,1,73,27,0,70,2703,1382,1314,33,310,2,3,304,304,3,883,3112,9163,17207,901,624,1305,943,36186,15855,53,545,412,16,827,29,0,223,1534,19,1354,78,19,0,8,0,13,7,2,0,4,4,43,11,0,0,0
H.I CARLOS ALBERTO CORTEZ JIMENEZ _per_2015-TOTAL,25399,49706,2963,441,23,10,23705,24307,23,25438,109136,259,33,15,44,13018,3748,10670,10411,0,0,0,915,160,49,100,1530,1511,637,0,1,461,782,791,472,314,1,1199,420,8,1019,38341,16232,15617,450,5663,2,3,3696,3724,3,11390,43277,119406,250855,11752,8210,17899,13341,477300,203079,543,3659,6282,173,10501,836,56,392,21185,4224,14806,1236,115,1,61,0,152,77,266,0,42,9,498,126,0,0,0
