,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,PACIENTE DIA <=24 HORAS,PACIENTE DIA > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MAMOGRAFIAS PREVENTIVAS 40 A 65 (RESULTA,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
CAP I CORACORA _per_2014-11,70,70,44,0,1,1,100,100,1,70,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,92,1,1,100,100,1,295,684,0,0,0,0,0,0,1287,1035,3,0,56,40,32,80,0,0,250,0,390,0,1,0,4,0,2,0,10,0,6,0,1,1,0,0,0
CAP I CORACORA _per_2014-12,65,65,30,0,1,1,100,100,1,65,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,103,1,1,100,100,1,294,668,0,0,0,0,0,0,1445,1219,1,0,19,11,27,84,0,0,236,0,326,0,1,0,4,0,2,0,10,0,7,0,1,1,0,0,0
CAP I CORACORA _per_2014-TOTAL,2417,2417,551,0,1,1,1217,1200,1,2417,7006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,97,0,0,0,1615,1,1,1180,1196,1,3451,8260,0,0,0,0,0,0,19091,15906,31,0,316,515,433,1186,0,0,3444,0,4624,0,18,0,43,0,31,0,112,0,72,0,12,12,0,0,0
CAP I DESAGUADERO _per_2014-01,392,392,27,0,1,1,100,100,1,392,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,229,1,1,102,102,1,308,785,500,552,0,0,0,0,941,849,2,6,9,76,13,45,0,0,508,304,422,0,4,3,1,0,2,0,4,1,2,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-02,236,236,45,0,1,1,99,99,1,236,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,149,1,1,98,98,1,300,720,464,502,0,0,0,0,891,828,1,1,9,37,12,45,0,0,515,303,400,0,3,1,3,0,1,0,3,2,2,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-03,217,217,16,0,1,1,100,100,1,217,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,112,1,1,102,102,1,308,695,459,615,0,0,0,0,1047,902,3,1,17,23,7,32,0,0,527,320,410,0,9,1,1,0,0,0,3,1,0,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-04,122,122,31,0,1,1,100,100,1,122,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,115,1,1,100,100,1,300,626,559,605,0,0,0,0,880,825,1,0,18,25,12,34,0,0,515,309,383,0,4,3,2,0,3,0,4,2,2,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-05,152,152,30,0,1,1,96,96,1,152,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114,1,1,105,105,1,313,678,399,458,0,0,0,0,772,722,1,0,0,52,12,41,0,0,526,310,407,0,4,2,1,0,2,0,4,2,1,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-06,151,151,24,0,1,1,100,100,1,151,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,112,1,1,103,103,1,320,821,389,433,0,0,0,0,978,913,1,2,1,42,5,43,0,0,505,299,385,0,3,2,3,0,2,0,3,1,2,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-07,115,115,35,0,1,1,100,100,1,115,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,104,1,1,103,103,1,313,843,325,351,0,0,0,0,1102,938,1,7,17,14,12,47,0,0,545,307,381,0,2,2,1,0,3,0,2,1,1,0,1,1,0,0,0
