,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,PACIENTE DIA <=24 HORAS,PACIENTE DIA > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MAMOGRAFIAS PREVENTIVAS 40 A 65 (RESULTA,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-01,46,46,1,0,1,1,12,12,3,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54119,0,0,0,0,2851,256,0,0,0,0,0,0,0,67,45,72,0,42,2,2,0,0,0,0,23,0,0,14,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-02,0,0,0,0,1,1,12,12,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33972,0,0,0,0,5375,244,0,0,0,0,0,0,0,66,45,71,0,63,5,2,0,0,0,0,27,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-03,1,1,1,0,1,1,12,12,3,1,45,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61913,0,0,0,0,5370,209,0,0,0,0,0,0,0,66,45,73,0,63,6,2,0,0,0,0,26,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-04,0,0,0,0,1,1,12,12,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54529,0,0,0,0,5248,248,0,0,0,0,0,0,0,66,44,72,0,62,5,2,0,0,0,0,22,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-05,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26438,0,0,0,0,5734,281,0,0,0,0,0,0,0,66,45,64,0,62,2,2,0,0,0,0,29,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-06,3,3,2,0,1,1,12,12,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19923,0,0,0,0,5731,249,0,0,0,0,0,0,0,66,45,80,0,32,1,2,0,0,0,0,18,0,0,10,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-07,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53897,0,0,0,0,5802,224,0,0,0,0,0,0,0,66,40,72,0,60,0,2,0,0,0,0,3,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-08,0,0,0,0,1,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47904,0,0,0,0,5344,223,0,0,0,0,0,0,0,66,43,72,0,35,3,2,0,0,0,0,23,0,0,14,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-09,0,0,0,0,1,1,12,12,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33480,0,0,0,0,5948,176,0,0,0,0,0,0,0,66,43,72,0,62,2,2,0,0,0,0,27,0,0,19,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-10,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31238,0,0,0,0,5633,223,0,0,0,0,0,0,0,66,43,72,0,52,4,2,0,0,0,0,24,0,0,20,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-11,2,2,1,0,1,1,12,12,3,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54867,0,0,0,0,5571,231,0,0,0,0,0,0,0,66,44,72,0,60,4,2,0,0,0,0,25,0,0,21,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-12,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49916,0,0,0,0,4875,233,0,0,0,0,0,0,0,66,44,72,0,41,7,2,0,0,0,0,25,0,0,17,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-TOTAL,52,52,5,0,1,1,144,144,3,52,523,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522196,0,0,0,0,63482,2797,0,0,0,0,0,0,0,793,526,864,0,634,41,24,0,0,0,0,272,0,0,220,692,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-01,1919,2187,252,0,9,6,886,886,55,1919,2461,38,3,12,1178,284,1769,994,0,0,112,3,21,7,0,541,508,137,25,3,0,0,0,0,0,0,0,0,43,103,79,0,186,39,217,1,2,120,120,2,315,617,0,0,1317,506,454,353,14134,8126,0,0,0,0,0,0,0,203,424,0,0,25,0,0,0,0,0,0,0,0,0,1,193,0,11,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-02,1128,1550,256,0,9,6,797,797,52,1128,2340,38,5,7,1064,264,1549,957,0,0,97,5,6,4,0,512,449,107,23,3,0,0,0,0,0,0,0,0,31,111,72,0,175,35,157,1,2,92,92,2,263,594,0,0,1214,433,465,279,13154,7478,0,0,0,0,0,0,0,210,400,0,0,24,0,0,0,0,0,0,0,0,0,0,194,0,10,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-03,849,1227,286,0,9,6,834,834,52,849,2477,40,0,4,1240,271,1553,1044,0,0,107,8,15,3,0,578,460,117,18,3,0,0,0,0,0,0,0,0,32,107,68,0,175,32,120,1,2,136,136,2,318,887,0,0,1342,443,665,418,13506,7806,0,0,0,0,0,0,0,171,361,0,0,122,0,0,0,0,0,0,0,0,0,4,193,0,4,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-04,571,930,283,0,9,6,864,864,51,571,2424,38,1,3,1140,271,1844,982,0,0,104,9,16,4,0,607,505,110,15,3,0,0,0,0,0,0,0,0,38,60,70,0,130,36,101,1,2,136,136,2,274,756,0,0,1210,498,481,344,13050,8036,0,0,0,0,0,0,0,115,357,0,0,83,0,0,0,0,0,0,0,0,0,3,193,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-05,186,299,101,0,9,6,360,848,41,186,928,38,4,5,1178,190,1634,1028,0,0,52,13,7,4,0,554,266,74,13,3,0,0,0,0,0,0,0,0,40,67,91,0,155,41,32,1,2,48,128,2,95,243,0,0,886,195,326,222,9571,5354,0,0,0,0,0,0,0,0,142,0,0,44,0,0,0,0,0,0,0,0,0,3,195,0,0,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-06,497,786,279,0,9,6,978,1055,49,497,2276,38,1,4,1140,106,1383,780,0,0,51,7,3,2,0,554,201,48,1,3,0,0,0,0,0,0,0,0,24,55,74,0,127,23,68,1,2,128,132,2,225,393,0,0,795,210,287,233,10413,7548,0,0,0,0,0,0,0,104,41,0,0,40,0,0,0,0,0,0,0,0,0,3,194,0,7,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-07,411,640,242,0,9,6,909,916,50,411,2078,38,2,6,1178,100,1183,619,0,0,35,5,8,2,0,517,201,49,6,3,0,0,0,0,0,0,0,0,29,72,71,0,131,41,41,1,2,108,112,2,163,367,0,0,727,214,9,0,9880,7261,0,0,0,0,0,0,0,44,0,0,0,57,0,0,0,0,0,0,0,0,0,3,193,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-08,424,637,231,0,9,6,823,823,52,424,2173,38,1,6,1178,250,1535,918,0,0,99,8,17,4,0,594,341,111,15,3,0,0,0,0,0,0,0,0,25,84,72,0,134,46,70,1,2,124,128,2,213,584,0,0,1139,279,423,289,12748,7158,0,0,0,0,0,0,0,97,291,0,0,139,0,0,0,0,0,0,0,0,0,4,193,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-09,425,682,272,0,9,6,921,921,53,425,2396,39,3,5,1170,290,2025,1086,0,0,103,7,13,4,0,720,497,111,6,3,0,0,0,0,0,0,0,0,37,80,91,0,150,58,79,1,2,132,132,2,260,513,0,0,1188,435,245,125,10976,4451,0,0,0,0,0,0,0,164,355,0,0,168,0,0,0,0,0,0,0,0,0,2,193,0,8,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-10,359,584,243,0,9,6,778,778,49,359,2213,38,2,4,1178,321,2167,988,0,0,130,3,19,4,0,708,593,132,17,3,0,0,0,0,0,0,0,0,35,64,115,0,161,53,68,1,2,108,108,2,238,428,0,0,1340,480,139,59,11062,4066,0,0,0,0,0,0,0,186,417,0,0,166,0,0,0,0,0,0,0,0,0,3,193,0,7,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-11,336,578,244,0,9,6,770,770,47,336,2257,38,1,8,1140,279,1517,934,0,0,104,10,27,2,0,547,524,120,15,3,0,0,0,0,0,0,0,0,20,67,91,0,141,37,75,1,2,108,108,2,243,478,0,0,1210,285,58,17,10785,4249,0,0,0,0,0,0,0,140,373,0,0,157,0,0,0,0,0,0,0,0,0,3,193,0,6,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-12,275,475,202,0,9,6,829,829,49,275,2032,38,3,0,1178,259,1102,971,0,0,80,11,3,0,0,556,415,83,6,3,0,0,0,0,0,0,0,0,25,76,104,0,163,42,28,1,2,48,48,2,114,181,0,0,1096,219,100,36,8925,3625,0,0,0,0,0,0,0,143,346,0,0,123,0,0,0,0,0,0,0,0,0,2,193,0,12,0,0
C.E. INSTITUTO NACIONAL CARDIOVASCULAR _per_2014-TOTAL,7380,10575,2891,0,9,6,9749,10321,51,7380,26055,38,26,64,13962,2885,19261,11301,0,0,1074,89,155,40,0,6988,4960,1199,160,3,0,0,0,0,0,0,0,0,379,946,998,0,1828,483,1056,1,2,1288,1380,2,2721,6041,0,0,13464,4197,3652,2375,138204,75158,0,0,0,0,0,0,0,1577,3507,0,0,1148,0,0,0,0,0,0,0,0,0,31,2320,0,81,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-01,1425,1584,56,0,5,7,437,437,10,1438,1893,6,0,0,186,119,137,148,1,0,46,4,143,0,0,272,259,203,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5647,3500,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-02,1127,1289,109,0,5,7,389,391,9,1129,1838,6,0,0,168,126,149,146,0,0,51,13,169,0,0,258,253,245,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,2809,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-03,719,899,163,0,5,7,478,478,10,723,2101,6,0,0,186,141,162,160,0,0,50,10,153,0,0,280,274,222,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524,3301,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-04,551,700,170,0,5,7,432,432,9,558,2104,6,0,0,180,144,156,162,1,0,54,13,175,0,0,274,265,247,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5484,3145,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-05,484,593,177,0,5,7,238,461,9,494,952,6,0,0,186,73,101,93,0,0,41,6,48,0,0,251,144,100,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583,1451,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-06,573,857,270,0,5,7,374,461,9,580,1502,6,0,0,180,48,68,72,0,0,27,4,30,0,0,297,111,64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,2203,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-07,618,1285,334,0,5,7,447,447,10,620,1885,6,0,0,186,101,121,125,0,0,38,6,88,0,0,229,191,138,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,2810,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-08,670,1138,222,0,5,7,463,463,10,682,2137,6,0,0,186,137,174,167,1,0,38,6,128,0,0,302,287,181,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5158,3403,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-09,538,752,184,0,5,7,440,440,10,547,2059,6,0,0,180,129,149,158,0,0,48,6,153,0,0,322,317,217,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5322,3221,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-10,460,656,200,0,5,7,373,373,8,470,1642,6,0,0,186,137,170,174,0,0,30,9,133,0,0,222,221,179,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797,2944,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-11,495,698,232,0,5,7,404,404,10,503,1825,6,0,0,174,149,174,167,0,0,53,8,140,0,0,282,254,211,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5106,3011,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-12,438,607,224,0,5,7,368,368,9,449,1509,6,0,0,186,119,133,133,0,0,33,14,115,0,0,258,255,170,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4196,2657,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,0,0
C.E. INSTITUTO PERUANO DE OFTALMOLOGIA _per_2014-TOTAL,8098,11058,2341,0,5,7,4843,5155,10,8193,21447,6,0,0,2184,1423,1694,1705,3,0,509,99,1475,0,0,3247,2831,2177,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55779,34455,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,137,0,0,0,0
C.M. ACOMAYO _per_2014-01,200,200,21,0,1,1,42,42,1,200,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,3,0,170,1,1,100,100,1,295,721,0,0,0,0,0,0,551,309,1,3,8,71,6,34,0,0,193,0,194,0,3,0,2,0,0,0,8,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2014-02,100,100,13,0,1,1,35,35,1,100,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,91,1,1,85,85,1,254,623,0,0,0,0,0,0,426,270,2,3,28,29,7,35,0,0,142,0,100,0,2,0,0,0,1,0,8,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2014-03,107,107,13,0,1,1,42,42,1,107,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,51,1,1,82,85,1,246,612,0,0,0,0,0,0,449,351,2,5,8,30,11,41,0,0,144,0,119,0,6,0,3,0,2,0,8,0,1,0,1,1,0,0,0
C.M. ACOMAYO _per_2014-04,25,25,2,0,1,1,17,17,1,25,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,32,1,1,45,85,1,168,470,0,0,0,0,0,0,373,274,0,0,18,7,6,29,0,0,80,0,70,0,2,0,3,0,3,0,8,0,0,0,1,1,0,0,0
C.M. ACOMAYO _per_2014-05,41,41,6,0,1,1,42,42,1,41,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,0,29,1,1,30,30,1,92,227,0,0,0,0,0,0,452,316,0,0,19,21,2,10,0,104,150,0,99,0,2,0,0,0,0,0,6,0,3,0,1,1,0,2,0
C.M. ACOMAYO _per_2014-06,49,49,4,0,1,1,52,52,1,49,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,0,35,1,1,42,46,1,131,326,0,0,0,0,0,0,478,375,2,0,10,8,7,37,0,154,158,0,111,0,4,0,1,0,2,0,19,0,3,0,1,1,0,2,0
C.M. ACOMAYO _per_2014-07,51,51,12,0,1,1,57,57,1,51,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,0,24,1,1,49,49,1,155,370,0,0,0,0,0,0,628,506,0,0,6,15,12,42,0,130,175,0,101,0,4,0,2,0,2,0,14,0,2,0,1,1,0,6,0
C.M. ACOMAYO _per_2014-08,27,27,13,0,1,1,40,42,1,27,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,22,1,1,42,42,1,125,311,0,0,0,0,0,0,412,304,0,0,2,13,25,29,0,101,56,0,88,0,1,0,3,0,2,0,2,0,5,0,1,1,4,1,0
C.M. ACOMAYO _per_2014-09,41,41,19,0,1,1,67,67,1,41,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,1,1,51,51,1,152,383,0,0,0,0,0,0,760,595,2,0,8,15,10,42,0,133,189,0,102,0,2,0,1,0,6,0,15,0,4,0,1,1,2,6,0
C.M. ACOMAYO _per_2014-10,33,33,18,0,1,1,57,57,1,33,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,33,1,1,57,57,1,171,415,0,0,0,0,0,0,659,512,0,0,11,22,10,38,0,116,151,0,141,0,2,0,3,0,5,0,15,0,4,0,1,1,4,3,0
C.M. ACOMAYO _per_2014-11,29,29,14,0,1,1,53,53,1,29,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,1,1,52,57,1,157,376,0,0,0,0,0,0,632,527,2,0,7,7,8,33,0,120,147,0,111,0,2,0,3,0,6,0,15,0,13,0,1,1,3,1,0
C.M. ACOMAYO _per_2014-12,38,38,26,0,1,1,44,44,1,38,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,26,1,1,47,57,1,142,347,0,0,0,0,0,0,464,380,2,0,22,12,13,47,0,123,160,0,117,0,1,0,3,0,3,0,20,0,8,0,1,1,1,1,0
C.M. ACOMAYO _per_2014-TOTAL,741,741,161,0,1,1,548,550,1,741,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94,21,11,0,564,1,1,682,744,1,2088,5181,0,0,0,0,0,0,6284,4719,13,11,147,250,117,417,0,981,1745,0,1353,0,31,0,24,0,32,0,138,0,43,0,12,12,14,22,0
C.M. ANCIJE _per_2014-01,4869,5701,55,0,27,11,1240,1328,18,4869,6202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,513,2,4,261,274,3,785,1963,5322,8005,757,754,559,556,20982,12866,0,18,73,43,0,0,4,25,1694,139,0,276,8,1,0,0,0,0,24,0,0,24,7,0,4,0,0
C.M. ANCIJE _per_2014-02,1986,3947,64,0,28,11,1190,1304,18,1986,5951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,315,2,4,286,302,3,860,2150,3977,7476,635,614,759,738,19291,11638,0,57,50,64,0,0,4,58,1849,393,0,209,7,2,0,0,0,0,12,0,0,14,7,0,3,0,0
C.M. ANCIJE _per_2014-03,1375,3406,140,0,25,11,1162,1228,17,1376,5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,271,2,4,286,300,3,865,2163,5578,8295,674,670,551,548,19180,8049,0,9,29,86,0,0,3,174,1933,337,0,269,7,2,0,0,0,0,23,0,0,28,7,0,6,0,0
C.M. ANCIJE _per_2014-04,850,2658,73,0,25,11,1186,1283,17,852,5936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,248,2,4,239,245,3,734,1835,4713,6941,627,623,758,754,20025,10241,0,20,98,70,0,0,2,229,1870,249,0,269,8,3,0,0,0,0,24,0,0,4,7,0,6,0,0
C.M. ANCIJE _per_2014-05,228,913,24,0,22,12,527,1071,17,228,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,235,2,2,190,203,2,574,1435,2337,3950,268,264,326,321,12332,5235,0,17,38,42,0,0,0,150,1631,170,0,344,6,4,0,0,0,0,0,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2014-06,510,2114,63,0,26,12,1160,1230,17,510,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,249,2,2,241,251,2,729,1823,5140,6486,506,502,697,691,16000,11549,0,25,38,43,0,0,0,180,763,326,0,289,3,4,0,0,0,0,8,0,0,0,7,0,0,0,0
C.M. ANCIJE _per_2014-07,334,1570,28,0,24,12,982,1034,17,334,4911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,186,2,2,198,208,2,608,1520,4748,5969,536,525,665,654,18399,11547,0,81,0,32,0,0,0,139,1246,288,0,347,4,4,0,0,0,0,0,0,0,0,7,0,6,0,0
